,x0,x1,x2,x3,y0,y1,sample,out_hull
0,5.1,3.5,1.4,0.2,1.0,0.0,False,False
1,4.9,3.0,1.4,0.2,1.0,0.0,False,False
2,4.6,3.1,1.5,0.2,1.0,0.0,False,False
3,5.4,3.9,1.7,0.4,1.0,0.0,False,False
4,4.6,3.4,1.4,0.3,1.0,0.0,False,False
5,5.0,3.4,1.5,0.2,1.0,0.0,False,False
6,4.4,2.9,1.4,0.2,0.32842348907227237,0.34043442551323777,True,False
7,4.9,3.1,1.5,0.1,0.3304358035035502,0.33915824203892403,True,False
8,5.4,3.7,1.5,0.2,1.0,0.0,False,False
9,4.8,3.4,1.6,0.2,1.0,0.0,False,False
10,4.8,3.0,1.4,0.1,0.32969327128214077,0.33948552490841366,True,False
11,4.3,3.0,1.1,0.1,0.3283216374965628,0.3396218544906162,True,False
12,5.8,4.0,1.2,0.2,0.31402812492306376,0.3442548505425709,True,False
13,5.7,4.4,1.5,0.4,0.3077337446728373,0.34553583747694594,True,False
14,5.4,3.9,1.3,0.4,0.32342510936061203,0.3405807060176872,True,True
15,5.1,3.5,1.4,0.3,1.0,0.0,False,False
16,5.7,3.8,1.7,0.3,1.0,0.0,False,False
17,5.4,3.4,1.7,0.2,0.3226238131054116,0.3421963977858842,True,True
18,4.6,3.6,1.0,0.2,0.32646495234601064,0.33953956902229154,True,False
19,5.1,3.3,1.7,0.5,1.0,0.0,False,False
20,4.8,3.4,1.9,0.2,0.3247922125567656,0.34197738900492286,True,False
21,5.0,3.0,1.6,0.2,1.0,0.0,False,False
22,5.0,3.4,1.6,0.4,1.0,0.0,False,False
23,5.2,3.5,1.5,0.2,1.0,0.0,False,False
24,5.2,4.1,1.5,0.1,0.3171374774631901,0.34350174320423477,True,True
25,5.5,4.2,1.4,0.2,0.3177515550722467,0.3423598825600049,True,True
26,4.9,3.1,1.5,0.2,1.0,0.0,False,False
27,5.0,3.2,1.2,0.2,0.3338886095206254,0.33722267689787433,True,True
28,5.5,3.5,1.3,0.2,0.32513605065420587,0.34054657951614814,True,True
29,4.9,3.6,1.4,0.1,0.33374178566583507,0.33714132884804127,True,True
30,4.4,3.0,1.3,0.2,1.0,0.0,False,False
31,5.1,3.4,1.5,0.2,1.0,0.0,False,False
32,4.5,2.3,1.3,0.3,0.32190050374579465,0.3426775696596119,True,False
33,4.4,3.2,1.3,0.2,0.3327787239027234,0.33809436245485547,True,False
34,5.0,3.5,1.6,0.6,0.32506816209281164,0.34097268701651634,True,True
35,5.1,3.8,1.9,0.4,1.0,0.0,False,False
36,6.4,3.2,4.5,1.5,0.0,1.0,False,False
37,6.9,3.1,4.9,1.5,0.0,1.0,False,False
38,5.5,2.3,4.0,1.3,0.0,1.0,False,False
39,4.9,2.4,3.3,1.0,0.0,1.0,False,False
40,5.2,2.7,3.9,1.4,0.0,1.0,False,False
