,x0,x1,x2,x3,y0,y1,sample,out_hull
0,4.7,3.2,1.3,0.2,1.0,0.0,False,False
1,4.6,3.1,1.5,0.2,1.0,0.0,False,False
2,5.0,3.6,1.4,0.2,1.0,0.0,False,False
3,4.6,3.4,1.4,0.3,1.0,0.0,False,False
4,4.4,2.9,1.4,0.2,0.2886454714498292,0.33740061536433175,True,False
5,4.9,3.1,1.5,0.1,0.2861924754005113,0.33760390759997,True,False
6,4.8,3.4,1.6,0.2,1.0,0.0,False,False
7,4.8,3.0,1.4,0.1,0.2822677173785288,0.3392262503656165,True,False
8,4.3,3.0,1.1,0.1,0.28289534847014725,0.33850617648153747,True,False
9,5.8,4.0,1.2,0.2,0.26762110987655746,0.34300211524986,True,True
10,5.7,4.4,1.5,0.4,0.25539844993560074,0.3453131944711029,True,True
11,5.4,3.9,1.3,0.4,0.2773652344296673,0.33850936441766827,True,False
12,5.1,3.5,1.4,0.3,1.0,0.0,False,False
13,5.1,3.8,1.5,0.3,1.0,0.0,False,False
14,5.4,3.4,1.7,0.2,0.2736831248781442,0.34228513036475844,True,True
15,4.6,3.6,1.0,0.2,0.27667365467752136,0.33884870067837114,True,True
16,5.1,3.3,1.7,0.5,1.0,0.0,False,False
17,4.8,3.4,1.9,0.2,0.28085135968788744,0.33966859762120055,True,True
18,5.0,3.4,1.6,0.4,1.0,0.0,False,False
19,4.7,3.2,1.6,0.2,1.0,0.0,False,False
20,4.8,3.1,1.6,0.2,1.0,0.0,False,False
21,5.2,4.1,1.5,0.1,0.26900360424797254,0.34238110443028547,True,True
22,5.5,4.2,1.4,0.2,0.2645793431305259,0.3450997234544681,True,True
23,5.0,3.2,1.2,0.2,0.2930583213301176,0.33451214888956465,True,False
24,5.5,3.5,1.3,0.2,0.27450715232281586,0.3411524102489529,True,False
25,4.9,3.6,1.4,0.1,0.29572769367456986,0.333116924784763,True,True
26,5.1,3.4,1.5,0.2,1.0,0.0,False,False
27,5.0,3.5,1.3,0.3,1.0,0.0,False,False
28,4.5,2.3,1.3,0.3,0.27403650556953524,0.3410780091947081,True,True
29,4.4,3.2,1.3,0.2,0.2951314604413263,0.33375446181593027,True,False
30,5.0,3.5,1.6,0.6,0.27535078420117054,0.3405844824894694,True,True
31,5.1,3.8,1.6,0.2,1.0,0.0,False,False
32,5.3,3.7,1.5,0.2,1.0,0.0,False,False
33,5.5,2.3,4.0,1.3,0.0,1.0,False,False
34,6.5,2.8,4.6,1.5,0.0,1.0,False,False
35,4.9,2.4,3.3,1.0,0.0,1.0,False,False
36,6.6,2.9,4.6,1.3,0.0,1.0,False,False
37,5.0,2.0,3.5,1.0,0.26680673059516397,0.3476427015082068,True,False
38,5.9,3.0,4.2,1.5,0.0,1.0,False,False
39,6.0,2.2,4.0,1.0,0.26112742924437377,0.34685977988504174,True,False
40,6.1,2.9,4.7,1.4,0.0,1.0,False,False
41,6.7,3.1,4.4,1.4,0.0,1.0,False,False
42,6.2,2.2,4.5,1.5,0.2522427243734612,0.3472877044505515,True,False
43,5.6,2.5,3.9,1.1,0.0,1.0,False,False
44,5.9,3.2,4.8,1.8,0.0,1.0,False,False
45,6.1,2.8,4.7,1.2,0.0,1.0,False,False
46,6.4,2.9,4.3,1.3,0.0,1.0,False,False
47,6.6,3.0,4.4,1.4,0.0,1.0,False,False
48,6.8,2.8,4.8,1.4,0.24672645951172947,0.3542873738639989,True,True
49,6.7,3.0,5.0,1.7,0.0,1.0,False,False
50,6.0,2.9,4.5,1.5,0.0,1.0,False,False
51,5.4,3.0,4.5,1.5,0.25126167463583193,0.3509352631049706,True,True
52,6.7,3.1,4.7,1.5,0.0,1.0,False,False
53,6.3,2.3,4.4,1.3,0.25247552439483245,0.3500758573686189,True,True
54,5.5,2.5,4.0,1.3,0.0,1.0,False,False
55,5.0,2.3,3.3,1.0,0.0,1.0,False,False
56,5.6,2.7,4.2,1.3,0.0,1.0,False,False
57,5.7,3.0,4.2,1.2,0.0,1.0,False,False
58,6.2,2.9,4.3,1.3,0.0,1.0,False,False
59,6.3,3.3,6.0,2.5,0.24719662733022615,0.3439287279408863,True,True
60,5.8,2.7,5.1,1.9,0.0,0.0,False,False
61,7.1,3.0,5.9,2.1,0.0,0.0,False,False
62,6.3,2.9,5.6,1.8,0.0,0.0,False,False
63,4.9,2.5,4.5,1.7,0.2633341554924118,0.3438692732348752,True,True
64,7.3,2.9,6.3,1.8,0.24037160502989133,0.34287668604344784,True,False
65,7.2,3.6,6.1,2.5,0.24013054190453265,0.3440937357172259,True,False
66,6.5,3.2,5.1,2.0,0.0,0.0,False,False
67,6.4,2.7,5.3,1.9,0.0,0.0,False,False
68,6.8,3.0,5.5,2.1,0.0,0.0,False,False
69,5.7,2.5,5.0,2.0,0.2435781622677928,0.34557863030189523,True,True
70,5.8,2.8,5.1,2.4,0.25270167029880714,0.34315223185054133,True,True
71,6.4,3.2,5.3,2.3,0.0,0.0,False,False
72,6.5,3.0,5.5,1.8,0.0,0.0,False,False
73,7.7,3.8,6.7,2.2,0.24404815634842153,0.34572123959429624,True,True
74,7.7,2.6,6.9,2.3,0.24457974943418725,0.3460827353832017,True,False
75,6.0,2.2,5.0,1.5,0.2460053570367887,0.34699253115083917,True,False
76,7.7,2.8,6.7,2.0,0.2445491439754835,0.3473839158956346,True,False
77,6.3,2.7,4.9,1.8,0.0,0.0,False,False
78,6.7,3.3,5.7,2.1,0.0,0.0,False,False
79,6.2,2.8,4.8,1.8,0.0,0.0,False,False
80,6.1,3.0,4.9,1.8,0.0,0.0,False,False
81,7.2,3.0,5.8,1.6,0.24835041137076835,0.34550351325390666,True,False
82,7.4,2.8,6.1,1.9,0.0,0.0,False,False
83,7.9,3.8,6.4,2.0,0.24668561682106016,0.34665352465471594,True,False
84,6.4,2.8,5.6,2.2,0.0,0.0,False,False
85,6.1,2.6,5.6,1.4,0.2538538935624697,0.344842007274105,True,False
86,7.7,3.0,6.1,2.3,0.24861733605442826,0.34573881539921514,True,True
87,6.3,3.4,5.6,2.4,0.23999241607337934,0.3420022121707514,True,False
88,6.0,3.0,4.8,1.8,0.0,0.0,False,False
89,6.9,3.1,5.4,2.1,0.0,0.0,False,False
90,6.7,3.1,5.6,2.4,0.0,0.0,False,False
91,6.9,3.1,5.1,2.3,0.24875132358707427,0.34389932082995117,True,True
92,5.8,2.7,5.1,1.9,0.0,0.0,False,False
93,6.8,3.2,5.9,2.3,0.0,0.0,False,False
94,6.7,3.3,5.7,2.5,0.2388747040470277,0.34006261037835833,True,False
95,6.7,3.0,5.2,2.3,0.0,0.0,False,False
96,6.3,2.5,5.0,1.9,0.0,0.0,False,False
97,6.5,3.0,5.2,2.0,0.0,0.0,False,False
98,6.2,3.4,5.4,2.3,0.2471535884833871,0.3437488327006278,True,False
99,5.9,3.0,5.1,1.8,0.0,0.0,False,False
