,x0,x1,x2,x3,y0,y1,sample,out_hull
0,5.1,3.5,1.4,0.2,1.0,0.0,False,False
1,4.7,3.2,1.3,0.2,1.0,0.0,False,False
2,4.6,3.1,1.5,0.2,1.0,0.0,False,False
3,4.6,3.4,1.4,0.3,1.0,0.0,False,False
4,5.0,3.4,1.5,0.2,1.0,0.0,False,False
5,4.4,2.9,1.4,0.2,0.3348292735606811,0.4060061329560805,True,False
6,4.9,3.1,1.5,0.1,0.3360933497983734,0.40453422195966576,True,False
7,5.4,3.7,1.5,0.2,1.0,0.0,False,False
8,4.8,3.4,1.6,0.2,1.0,0.0,False,False
9,4.8,3.0,1.4,0.1,0.33696688424410837,0.4046013289458907,True,False
10,4.3,3.0,1.1,0.1,0.33742482520849876,0.4041740544548058,True,False
11,5.8,4.0,1.2,0.2,0.32223506983737416,0.40915169972138254,True,False
12,5.7,4.4,1.5,0.4,0.30934755815032233,0.41284929098714407,True,True
13,5.4,3.9,1.3,0.4,0.33014465583389735,0.4061530531899245,True,True
14,5.1,3.5,1.4,0.3,1.0,0.0,False,False
15,5.4,3.4,1.7,0.2,0.3287112327691595,0.40721487164203823,True,False
16,4.6,3.6,1.0,0.2,0.3332748939203174,0.40501639962231323,True,False
17,5.1,3.3,1.7,0.5,1.0,0.0,False,False
18,4.8,3.4,1.9,0.2,0.33161233962431097,0.40684337950916705,True,True
19,5.0,3.0,1.6,0.2,1.0,0.0,False,False
20,5.0,3.4,1.6,0.4,1.0,0.0,False,False
21,5.2,3.5,1.5,0.2,1.0,0.0,False,False
22,5.2,4.1,1.5,0.1,0.3222987468450676,0.4090498192079127,True,True
23,5.5,4.2,1.4,0.2,0.32456440561210403,0.40814794777384567,True,True
24,4.9,3.1,1.5,0.2,1.0,0.0,False,False
25,5.0,3.2,1.2,0.2,0.3422571626511965,0.40168894911453856,True,True
26,5.5,3.5,1.3,0.2,0.33097790790423676,0.4062104385259373,True,True
27,4.9,3.6,1.4,0.1,0.3428583762059397,0.4011940226953953,True,False
28,4.4,3.0,1.3,0.2,1.0,0.0,False,False
29,5.1,3.4,1.5,0.2,1.0,0.0,False,False
30,4.5,2.3,1.3,0.3,0.32570607759492975,0.40935963920623797,True,True
31,4.4,3.2,1.3,0.2,0.3395997082601694,0.40333042022055643,True,True
32,5.0,3.5,1.6,0.6,0.3337185879707047,0.4050734885984921,True,False
33,5.1,3.8,1.9,0.4,1.0,0.0,False,False
34,4.8,3.0,1.4,0.3,1.0,0.0,False,False
35,5.1,3.8,1.6,0.2,1.0,0.0,False,False
36,7.0,3.2,4.7,1.4,0.0,1.0,False,False
37,5.5,2.3,4.0,1.3,0.0,1.0,False,False
38,6.5,2.8,4.6,1.5,0.0,1.0,False,False
39,6.3,3.3,4.7,1.6,0.0,1.0,False,False
40,4.9,2.4,3.3,1.0,0.0,1.0,False,False
41,6.6,2.9,4.6,1.3,0.0,1.0,False,False
42,5.2,2.7,3.9,1.4,0.0,1.0,False,False
43,5.0,2.0,3.5,1.0,0.3128499623961218,0.4161915208121056,True,True
44,6.0,2.2,4.0,1.0,0.3057240998344444,0.41731340092762553,True,False
45,6.1,2.9,4.7,1.4,0.0,1.0,False,False
46,5.6,3.0,4.5,1.5,0.0,1.0,False,False
47,6.2,2.2,4.5,1.5,0.29655791236747675,0.4201550726883766,True,False
48,5.6,2.5,3.9,1.1,0.0,1.0,False,False
49,6.3,2.5,4.9,1.5,0.0,1.0,False,False
50,6.1,2.8,4.7,1.2,0.0,1.0,False,False
51,6.8,2.8,4.8,1.4,0.2942331753147368,0.4197669519786698,True,False
52,5.5,2.4,3.8,1.1,0.0,1.0,False,False
53,5.5,2.4,3.7,1.0,0.0,1.0,False,False
54,5.8,2.7,3.9,1.2,0.0,1.0,False,False
55,5.4,3.0,4.5,1.5,0.29852178696526716,0.42040531386357105,True,True
56,6.3,2.3,4.4,1.3,0.29721827147921187,0.41952591493650254,True,True
57,5.6,3.0,4.1,1.3,0.0,1.0,False,False
58,6.1,3.0,4.6,1.4,0.0,1.0,False,False
59,5.8,2.6,4.0,1.2,0.0,1.0,False,False
60,5.0,2.3,3.3,1.0,0.0,1.0,False,False
61,5.7,3.0,4.2,1.2,0.0,1.0,False,False
62,5.7,2.9,4.2,1.3,0.0,1.0,False,False
63,6.2,2.9,4.3,1.3,0.0,1.0,False,False
64,5.1,2.5,3.0,1.1,0.0,1.0,False,False
65,5.7,2.8,4.1,1.3,0.0,1.0,False,False
66,6.3,3.3,6.0,2.5,0.2917562868722126,0.4174958865613125,True,False
67,6.3,2.9,5.6,1.8,0.0,0.0,False,False
68,6.5,3.0,5.8,2.2,0.0,0.0,False,False
69,4.9,2.5,4.5,1.7,0.30812632135714957,0.41579174389130696,True,True
70,7.3,2.9,6.3,1.8,0.28587195966755935,0.4190308377315896,True,True
71,6.7,2.5,5.8,1.8,0.0,0.0,False,False
72,7.2,3.6,6.1,2.5,0.28838733715245113,0.41774281914658157,True,True
73,6.5,3.2,5.1,2.0,0.0,0.0,False,False
