,x0,x1,x2,x3,y0,y1,sample,out_hull
0,4.7,3.2,1.3,0.2,1.0,0.0,False,False
1,4.6,3.1,1.5,0.2,1.0,0.0,False,False
2,5.4,3.9,1.7,0.4,1.0,0.0,False,False
3,4.4,2.9,1.4,0.2,0.34104694115546724,0.36795119798648673,True,False
4,4.9,3.1,1.5,0.1,0.3385127673074851,0.36883269502422555,True,False
5,5.4,3.7,1.5,0.2,1.0,0.0,False,False
6,4.8,3.0,1.4,0.1,0.33299344653059126,0.3716747760475804,True,False
7,4.3,3.0,1.1,0.1,0.3332042404714997,0.3711615874412986,True,True
8,5.8,4.0,1.2,0.2,0.31777806309858003,0.37699112453479494,True,True
9,5.7,4.4,1.5,0.4,0.3048435719457433,0.3806880356241149,True,False
10,5.4,3.9,1.3,0.4,0.3271201052936404,0.37217874682939467,True,True
11,5.1,3.5,1.4,0.3,1.0,0.0,False,False
12,5.4,3.4,1.7,0.2,0.32407787417622286,0.37542180492382243,True,True
13,5.1,3.7,1.5,0.4,1.0,0.0,False,False
14,4.6,3.6,1.0,0.2,0.3249863124758282,0.37310114738818445,True,True
15,5.1,3.3,1.7,0.5,1.0,0.0,False,False
16,4.8,3.4,1.9,0.2,0.3291571906556555,0.37351633864455047,True,True
17,5.0,3.4,1.6,0.4,1.0,0.0,False,False
18,5.2,3.4,1.4,0.2,1.0,0.0,False,False
19,4.7,3.2,1.6,0.2,1.0,0.0,False,False
20,4.8,3.1,1.6,0.2,1.0,0.0,False,False
21,5.4,3.4,1.5,0.4,1.0,0.0,False,False
22,5.2,4.1,1.5,0.1,0.3178422906610999,0.37644143933554913,True,True
23,5.5,4.2,1.4,0.2,0.3152117356404532,0.37828706000889956,True,False
24,4.9,3.1,1.5,0.2,1.0,0.0,False,False
25,5.0,3.2,1.2,0.2,0.3447318473342976,0.36572035903240696,True,True
26,5.5,3.5,1.3,0.2,0.3248657893258408,0.3747376533841064,True,False
27,4.9,3.6,1.4,0.1,0.34150815706834836,0.36725602444737804,True,True
28,4.4,3.0,1.3,0.2,1.0,0.0,False,False
29,4.5,2.3,1.3,0.3,0.3249994032782759,0.37465664692106293,True,False
30,4.4,3.2,1.3,0.2,0.34763378044178417,0.36410531126309464,True,True
31,5.0,3.5,1.6,0.6,0.32470308324331043,0.3749130991033227,True,False
32,4.8,3.0,1.4,0.3,1.0,0.0,False,False
33,4.6,3.2,1.4,0.2,1.0,0.0,False,False
34,5.3,3.7,1.5,0.2,1.0,0.0,False,False
35,5.0,3.3,1.4,0.2,1.0,0.0,False,False
36,6.9,3.1,4.9,1.5,0.0,1.0,False,False
37,5.5,2.3,4.0,1.3,0.0,1.0,False,False
38,6.5,2.8,4.6,1.5,0.0,1.0,False,False
39,6.6,2.9,4.6,1.3,0.0,1.0,False,False
40,5.0,2.0,3.5,1.0,0.31600201110189824,0.38222002199132193,True,False
41,5.9,3.0,4.2,1.5,0.0,1.0,False,False
42,6.0,2.2,4.0,1.0,0.31003372998521744,0.3822111976024059,True,False
43,5.6,2.9,3.6,1.3,0.0,1.0,False,False
44,6.7,3.1,4.4,1.4,0.0,1.0,False,False
45,6.2,2.2,4.5,1.5,0.3010925872534398,0.38389372275732897,True,False
46,5.6,2.5,3.9,1.1,0.0,1.0,False,False
47,6.1,2.8,4.0,1.3,0.0,1.0,False,False
48,6.4,2.9,4.3,1.3,0.0,1.0,False,False
49,6.8,2.8,4.8,1.4,0.29655772534555813,0.3878297934033756,True,False
50,5.5,2.4,3.7,1.0,0.0,1.0,False,False
51,5.8,2.7,3.9,1.2,0.0,1.0,False,False
52,6.0,2.7,5.1,1.6,0.0,1.0,False,False
53,5.4,3.0,4.5,1.5,0.2993654232809352,0.3871967021554955,True,True
54,6.0,3.4,4.5,1.6,0.0,1.0,False,False
55,6.7,3.1,4.7,1.5,0.0,1.0,False,False
56,6.3,2.3,4.4,1.3,0.3004949326484277,0.38748845643561947,True,True
57,5.6,3.0,4.1,1.3,0.0,1.0,False,False
58,5.5,2.5,4.0,1.3,0.0,1.0,False,False
59,5.5,2.6,4.4,1.2,0.0,1.0,False,False
60,5.8,2.6,4.0,1.2,0.0,1.0,False,False
61,5.0,2.3,3.3,1.0,0.0,1.0,False,False
62,5.7,2.9,4.2,1.3,0.0,1.0,False,False
63,5.1,2.5,3.0,1.1,0.0,1.0,False,False
64,6.3,3.3,6.0,2.5,0.29610139885980674,0.3807450828550761,True,False
65,6.3,2.9,5.6,1.8,0.0,0.0,False,False
66,4.9,2.5,4.5,1.7,0.3125150846705938,0.37834537894131937,True,True
67,7.3,2.9,6.3,1.8,0.2894803759025401,0.38040743363728663,True,True
68,6.7,2.5,5.8,1.8,0.0,0.0,False,False
69,7.2,3.6,6.1,2.5,0.28932833602771096,0.3812474887461269,True,True
70,6.5,3.2,5.1,2.0,0.0,0.0,False,False
71,6.4,2.7,5.3,1.9,0.0,0.0,False,False
72,6.8,3.0,5.5,2.1,0.0,0.0,False,False
73,5.7,2.5,5.0,2.0,0.29294970497991046,0.38444272247122974,True,False
74,5.8,2.8,5.1,2.4,0.30157397275001313,0.379353393959496,True,True
75,6.4,3.2,5.3,2.3,0.0,0.0,False,False
76,6.5,3.0,5.5,1.8,0.0,0.0,False,False
77,7.7,3.8,6.7,2.2,0.2928566842012925,0.382368534520886,True,True
78,7.7,2.6,6.9,2.3,0.2933200581881202,0.38265589755098967,True,True
79,6.0,2.2,5.0,1.5,0.29424545146351067,0.38296891549257006,True,False
80,6.9,3.2,5.7,2.3,0.0,0.0,False,False
81,5.6,2.8,4.9,2.0,0.0,0.0,False,False
82,7.7,2.8,6.7,2.0,0.2932380064978291,0.38360644296759344,True,False
83,6.1,3.0,4.9,1.8,0.0,0.0,False,False
84,6.4,2.8,5.6,2.1,0.0,0.0,False,False
85,7.2,3.0,5.8,1.6,0.29751221098544717,0.3816410597325326,True,False
86,7.4,2.8,6.1,1.9,0.0,0.0,False,False
87,7.9,3.8,6.4,2.0,0.2956951851889449,0.3829518505131551,True,False
88,6.1,2.6,5.6,1.4,0.3030050220632275,0.38009043896074995,True,False
89,7.7,3.0,6.1,2.3,0.2977375514476892,0.3817839011622987,True,False
90,6.3,3.4,5.6,2.4,0.2899323415966528,0.3801057369079386,True,False
91,6.4,3.1,5.5,1.8,0.0,0.0,False,False
92,6.0,3.0,4.8,1.8,0.0,0.0,False,False
93,6.7,3.1,5.6,2.4,0.0,0.0,False,False
94,6.9,3.1,5.1,2.3,0.29863051559457476,0.38054023067910336,True,False
95,5.8,2.7,5.1,1.9,0.0,0.0,False,False
96,6.7,3.3,5.7,2.5,0.28773096507271007,0.37697869033549075,True,True
97,6.3,2.5,5.0,1.9,0.0,0.0,False,False
98,6.5,3.0,5.2,2.0,0.0,0.0,False,False
99,6.2,3.4,5.4,2.3,0.2961643388004821,0.37946020233794914,True,False
