,x0,x1,x2,x3,y0,y1,sample,out_hull
0,4.7,3.2,1.3,0.2,1.0,0.0,False,False
1,4.6,3.1,1.5,0.2,1.0,0.0,False,False
2,5.0,3.6,1.4,0.2,1.0,0.0,False,False
3,4.6,3.4,1.4,0.3,1.0,0.0,False,False
4,5.0,3.4,1.5,0.2,1.0,0.0,False,False
5,4.4,2.9,1.4,0.2,0.36250121307551575,0.3380347046028375,True,False
6,4.9,3.1,1.5,0.1,0.3633003063529573,0.3371681682491175,True,False
7,4.8,3.4,1.6,0.2,1.0,0.0,False,False
8,4.8,3.0,1.4,0.1,0.3617953513276893,0.3379542518165239,True,False
9,4.3,3.0,1.1,0.1,0.36213563556680384,0.3377200169377627,True,False
10,5.8,4.0,1.2,0.2,0.3459730504778775,0.3442400303184388,True,False
11,5.7,4.4,1.5,0.4,0.3420264792129054,0.34521872030083833,True,True
12,5.4,3.9,1.3,0.4,0.35486938378441496,0.3403863408534964,True,True
13,5.1,3.5,1.4,0.3,1.0,0.0,False,False
14,5.4,3.4,1.7,0.2,0.3550833835868469,0.3408110582795234,True,False
15,4.6,3.6,1.0,0.2,0.3572758068320371,0.3396276542024991,True,True
16,4.8,3.4,1.9,0.2,0.3584013800843386,0.339767509936466,True,True
17,5.0,3.0,1.6,0.2,1.0,0.0,False,False
18,5.0,3.4,1.6,0.4,1.0,0.0,False,False
19,5.2,3.5,1.5,0.2,1.0,0.0,False,False
20,4.7,3.2,1.6,0.2,1.0,0.0,False,False
21,4.8,3.1,1.6,0.2,1.0,0.0,False,False
22,5.4,3.4,1.5,0.4,1.0,0.0,False,False
23,5.2,4.1,1.5,0.1,0.3500143438541662,0.3427472145193174,True,True
24,5.5,4.2,1.4,0.2,0.35081881611582016,0.34170389096188,True,True
25,4.9,3.1,1.5,0.2,1.0,0.0,False,False
26,5.0,3.2,1.2,0.2,0.3680492835266596,0.33457186487186363,True,True
27,5.5,3.5,1.3,0.2,0.3549966080251195,0.34077196770210655,True,False
28,4.9,3.6,1.4,0.1,0.3663872399138077,0.3351917024243011,True,True
29,4.4,3.0,1.3,0.2,1.0,0.0,False,False
30,5.1,3.4,1.5,0.2,1.0,0.0,False,False
31,4.5,2.3,1.3,0.3,0.35464229548912685,0.34152086970436596,True,True
32,4.4,3.2,1.3,0.2,0.36677735672979744,0.3355549006838298,True,True
33,5.0,3.5,1.6,0.6,0.35874712320444435,0.3391828719293421,True,False
34,5.1,3.8,1.9,0.4,1.0,0.0,False,False
35,4.8,3.0,1.4,0.3,1.0,0.0,False,False
36,5.1,3.8,1.6,0.2,1.0,0.0,False,False
37,5.3,3.7,1.5,0.2,1.0,0.0,False,False
38,6.4,3.2,4.5,1.5,0.0,1.0,False,False
39,5.5,2.3,4.0,1.3,0.0,1.0,False,False
40,6.6,2.9,4.6,1.3,0.0,1.0,False,False
41,5.0,2.0,3.5,1.0,0.34534009837083657,0.34736811233818893,True,False
42,5.9,3.0,4.2,1.5,0.0,1.0,False,False
43,6.0,2.2,4.0,1.0,0.33994368691969334,0.3483756387351242,True,False
44,6.2,2.2,4.5,1.5,0.33416357826451437,0.3498025566381964,True,False
45,5.6,2.5,3.9,1.1,0.0,1.0,False,False
46,6.1,2.8,4.7,1.2,0.0,1.0,False,False
47,6.4,2.9,4.3,1.3,0.0,1.0,False,False
48,6.8,2.8,4.8,1.4,0.3295674230686194,0.3522011765780648,True,False
49,6.7,3.0,5.0,1.7,0.0,1.0,False,False
50,6.0,2.9,4.5,1.5,0.0,1.0,False,False
51,5.7,2.6,3.5,1.0,0.0,1.0,False,False
52,5.5,2.4,3.7,1.0,0.0,1.0,False,False
53,6.0,2.7,5.1,1.6,0.0,1.0,False,False
54,5.4,3.0,4.5,1.5,0.3354273592245866,0.35035573016632576,True,False
55,6.7,3.1,4.7,1.5,0.0,1.0,False,False
56,6.3,2.3,4.4,1.3,0.33350571541426605,0.3506221590549526,True,True
57,5.5,2.6,4.4,1.2,0.0,1.0,False,False
58,6.1,3.0,4.6,1.4,0.0,1.0,False,False
59,5.0,2.3,3.3,1.0,0.0,1.0,False,False
60,5.6,2.7,4.2,1.3,0.0,1.0,False,False
61,5.7,2.9,4.2,1.3,0.0,1.0,False,False
62,5.1,2.5,3.0,1.1,0.0,1.0,False,False
63,5.7,2.8,4.1,1.3,0.0,1.0,False,False
64,6.3,3.3,6.0,2.5,0.3321952089359691,0.34766699545721086,True,True
65,5.8,2.7,5.1,1.9,0.0,0.0,False,False
66,6.3,2.9,5.6,1.8,0.0,0.0,False,False
67,4.9,2.5,4.5,1.7,0.34272836011720126,0.3469690863158715,True,False
68,7.3,2.9,6.3,1.8,0.32491456518595907,0.3472613359567722,True,True
69,7.2,3.6,6.1,2.5,0.3279928601464666,0.3482432664865299,True,True
70,6.5,3.2,5.1,2.0,0.0,0.0,False,False
71,6.4,2.7,5.3,1.9,0.0,0.0,False,False
72,6.8,3.0,5.5,2.1,0.0,0.0,False,False
73,5.7,2.5,5.0,2.0,0.3281752593791279,0.35151351613425275,True,True
74,5.8,2.8,5.1,2.4,0.3376187045846454,0.34736415965571554,True,False
75,6.5,3.0,5.5,1.8,0.0,0.0,False,False
76,7.7,3.8,6.7,2.2,0.32902892753691043,0.34826968319422547,True,False
77,7.7,2.6,6.9,2.3,0.3281947864990421,0.3489819410057948,True,True
78,6.0,2.2,5.0,1.5,0.3291069466959181,0.3505613107689044,True,True
79,5.6,2.8,4.9,2.0,0.0,0.0,False,False
80,7.7,2.8,6.7,2.0,0.32760134878563874,0.34903646292428914,True,True
81,6.7,3.3,5.7,2.1,0.0,0.0,False,False
82,7.2,3.2,6.0,1.8,0.0,0.0,False,False
83,6.2,2.8,4.8,1.8,0.0,0.0,False,False
84,6.4,2.8,5.6,2.1,0.0,0.0,False,False
85,7.2,3.0,5.8,1.6,0.3312262903996972,0.34829930748179655,True,False
86,7.4,2.8,6.1,1.9,0.0,0.0,False,False
87,7.9,3.8,6.4,2.0,0.3318813364255874,0.34828055947500197,True,False
88,6.3,2.8,5.1,1.5,0.0,0.0,False,False
89,6.1,2.6,5.6,1.4,0.3353552093625378,0.3481255607542017,True,False
90,7.7,3.0,6.1,2.3,0.33234586531488564,0.3481531567129374,True,False
91,6.3,3.4,5.6,2.4,0.3285249366420863,0.348054304772656,True,False
92,6.9,3.1,5.4,2.1,0.0,0.0,False,False
93,6.7,3.1,5.6,2.4,0.0,0.0,False,False
94,6.9,3.1,5.1,2.3,0.33377940664961653,0.34787568197865526,True,False
95,6.7,3.3,5.7,2.5,0.3261280293507539,0.3460867329444377,True,False
96,6.7,3.0,5.2,2.3,0.0,0.0,False,False
97,6.3,2.5,5.0,1.9,0.0,0.0,False,False
98,6.5,3.0,5.2,2.0,0.0,0.0,False,False
99,6.2,3.4,5.4,2.3,0.3341929093646537,0.3482046201922145,True,True
100,5.264841279328906,3.0249019087814686,2.3747028644782637,0.8396164555243069,0.35243103298368317,0.34321420117615337,True,False
101,6.187608933623551,3.304348315700865,3.0420549084350634,0.8290753264413327,0.34168668586082945,0.3473252951870693,True,True
102,4.677641622149625,2.7644202168291683,2.7919082740562073,0.8779835350797014,0.3555843098714819,0.34205548008576236,True,True
103,6.123335528179159,2.7153949419530687,3.7293253039504473,1.3010072622163296,0.337138527306561,0.3498721056547125,True,False
104,6.746099678440896,3.4590841394040464,4.008346625963439,1.1609358509226297,0.33303886671744715,0.3501445616310316,True,False
105,6.398907606796566,3.8611158074429954,4.118954271066629,1.1896216906562425,0.33315179307908527,0.3495798650489573,True,False
106,5.662475091588747,3.5814811057303806,2.743434767846083,0.6068306128046351,0.3475386327102675,0.344888845822727,True,True
107,4.721884671152257,2.8842499765579968,1.815918536697636,0.5110450204873631,0.3645953182003664,0.3371980403987467,True,False
108,5.51801694811028,3.1534362641100167,2.808079068329839,0.8326944343370821,0.34718536208833867,0.34556101552738694,True,False
109,5.636805771120041,2.70102108254589,3.197732714769698,1.2529655020142416,0.3431897231391458,0.3477294414914694,True,False
110,6.6814831373663175,3.885078390092707,3.9890784745863668,1.256861384623924,0.332093997232235,0.3489214582802156,True,False
111,6.165904760808019,3.4072757034415613,3.537352865922268,0.8739323911750088,0.33765420908663835,0.34927974859546035,True,False
112,5.5842571309533255,3.2943903951332407,3.560175196342394,0.8498948303699003,0.3400500905649287,0.34867889711274264,True,True
113,5.1725697753099125,2.6258504698855436,3.251113877717947,1.3277840690324605,0.3442775655874484,0.3475375213578331,True,False
114,5.47899355712426,2.9797159021766313,3.4004646033566384,0.7518771643826095,0.3452014745174449,0.34700306207862325,True,True
115,5.509940432618284,2.517968402299035,2.847397984709076,0.7597305742940152,0.34741013599637555,0.34555046902024494,True,False
116,4.888615047836382,2.555820438620475,2.4745188403512093,0.6168300370883332,0.3565243571146242,0.34168936696428603,True,False
117,6.610988297019512,3.8139010951112318,3.944693228276021,1.0970147287649414,0.3346732541504192,0.3489611136339765,True,False
118,6.070063493911577,2.8807754319625385,3.897104620618768,1.625939768424703,0.3343893405298694,0.35135864251064597,True,False
119,6.564011139908718,3.8785820414636345,3.8652167048603605,1.0744010264276835,0.33779529518992396,0.34784357685796813,True,False
120,4.809769258531199,3.387177046941381,1.9080162974079398,0.4875043349159599,0.3654988274128794,0.336259793777305,True,False
121,4.807502958619566,3.057588284761109,2.7911853929053807,0.9323616483741082,0.35205891767486747,0.34318984132941993,True,False
122,5.177254532698386,3.1036426164668947,3.1024495633951545,1.2668318144683404,0.34642164517941354,0.34582025528733085,True,True
123,5.192419185756162,3.1892942595009597,2.6563567221905284,0.6471597234751942,0.35080297713340414,0.34390091050188654,True,False
124,6.644992933648816,3.3996587829859943,3.8157282955404406,1.3005731984294349,0.3347945028155703,0.3496431659412211,True,False
125,5.392401977861921,3.4841380582175887,3.1772027652341275,1.189436287631615,0.3449321786537246,0.3459608565335559,True,True
126,5.477018704723673,2.556202242691316,2.8098289997994663,0.8204947089220234,0.3481779008372297,0.34538689842427306,True,True
127,4.864654435960419,3.5483620689995083,1.6374342893046658,0.4051283588901714,0.36828068465142544,0.3344995024859578,True,True
128,4.812951994075418,2.5561937215518604,2.4434856819043023,0.7520386529170316,0.35557899822270844,0.34241465655835024,True,False
129,5.650446938765171,3.384952080405256,2.1795683014987666,0.5113092479297051,0.3523552050954109,0.3425546833562339,True,False
130,5.926186753949708,2.661922287948531,4.291082043953684,1.6652573530974575,0.330812159471801,0.3528140055625311,True,False
131,5.192827706132082,3.362950573173986,1.8802590355831208,0.4609082824051428,0.3623312095438412,0.3378244378109644,True,True
132,6.042916911432305,3.814504007159982,2.6727422400658782,0.6959842397858793,0.34223726188507014,0.34621941455353494,True,True
133,5.035476191396096,3.5055070367667014,2.2316266985687707,0.710990311338149,0.3540958026968187,0.3418369039968814,True,False
134,5.136315808906943,2.79021809932315,1.9859681779176992,0.4565160354909157,0.35884877498772455,0.33996788306486286,True,True
135,6.040528020107581,3.7456134475832688,2.609540450534442,0.8317821449873527,0.3413568774058258,0.3468067729498003,True,True
136,4.874310728154011,2.64387961891938,1.964208403612725,0.4431151984983674,0.3624995726432689,0.33838995700297975,True,True
137,5.365941995067409,3.4335886376709532,3.168288428372727,1.2102532612130192,0.3441937415555879,0.3464516742020413,True,False
138,4.992971536192267,2.5022693775510385,2.343162142448123,0.7076050563127081,0.35489990948249217,0.3425461347024185,True,True
139,6.166411496455107,3.0875874892373276,4.501938186987106,1.55901242691572,0.32930287270878517,0.3530974425371615,True,False
140,4.845715809907714,3.4947261676195143,1.4066717429712767,0.22119502356900836,0.37341850068482607,0.33179797076111245,True,False
141,5.138958347576632,3.867757529919336,1.4116757516804468,0.3119192989200769,0.3636429006081545,0.3362552921454367,True,False
142,5.754526228716566,3.8874588351048116,2.741510712800228,0.749428176270963,0.3427241883763046,0.3462759960927178,True,False
143,5.406855986613143,3.0494735367746553,2.0963652967332913,0.6454729544919265,0.3546055474653483,0.34173340058146445,True,True
144,5.620550550730291,3.516006060314462,3.7444991573905417,1.366620303103322,0.33714000035217756,0.34961554632973246,True,False
145,5.927270612796087,2.9360169613720295,3.4114789548050832,1.3723888674310623,0.3383794330301874,0.34975522361664263,True,True
146,5.279387357952257,2.5345366354295176,2.567781673098057,0.6018444228274005,0.35336693153841764,0.34276570045045207,True,False
147,5.0603548634446645,3.513940891080729,1.1760471425674979,0.16051188268818978,0.367472111932193,0.33462211645670453,True,True
148,5.769589971356313,2.7309269789443973,4.319924801167174,1.2451252936733967,0.33190721645120524,0.3540893501013929,True,True
149,5.446800665737534,3.638204590056458,1.7233140745796323,0.4487392093025853,0.3565776658067597,0.3399879348350592,True,True
150,5.6298745085774,3.6923367476327718,2.9349433324928267,0.7347766062638399,0.3437529135684697,0.346510507398518,True,False
151,5.252341222013743,3.576963263857566,2.498606999503863,0.6439689167845449,0.3500447693969892,0.3437758030828212,True,False
152,4.8302320119513205,3.4035130482804963,1.449924081036677,0.3264585406173504,0.37290871318116225,0.3322706373463709,True,True
153,6.38726667320801,3.708688949302077,3.6917075872012255,1.3978991960217886,0.33388209233382987,0.34868699871629366,True,True
154,5.082964281516414,3.064181230294679,2.2881404582014393,0.5211218032198717,0.35710156636119095,0.3409436743953172,True,False
155,5.442351436375694,3.7700444805920665,2.3318867665683225,0.7130581254397448,0.34866015207142576,0.3438700033246337,True,False
156,5.559269069154032,3.622585716425431,2.4486811531593022,0.8878145571131598,0.34967005660774986,0.3436323969014845,True,False
157,4.6224473039316685,2.949104950696242,1.7038718014398548,0.45478311263331,0.36890866420588897,0.3346865516062979,True,True
158,5.006667112555275,2.902064946473931,1.6677432452257803,0.42782384999174733,0.36556729062907595,0.33632350947394724,True,True
159,6.704236175359721,3.4657915397993486,5.419173980292793,1.8016287530819621,0.32670742965520977,0.3497130756430091,True,True
160,4.6351072188766365,2.9335846172827336,1.9888801538652896,0.4979550816042687,0.3649184105334821,0.3371912873444754,True,True
161,5.399545687556536,3.3931452857457436,3.5125613106645077,1.29148841524143,0.34006547720350583,0.3488149724374283,True,True
162,5.161803907570067,3.6727443766892915,2.0650113616814383,0.6591295099026399,0.35576175314119757,0.34056679019044717,True,True
163,5.170697692118917,2.471503577431997,2.6708034966432743,0.6157146211100547,0.35421903317343467,0.34267120559412967,True,True
164,5.831372624716846,3.0336730029293832,3.0462211885586576,1.2039595880870362,0.3428640099509256,0.3470478747760802,True,True
165,5.316472625642159,3.6387076486548455,2.131015174060275,0.4058322843374697,0.355058668722344,0.34116531420361684,True,True
166,5.293941839650345,3.0600909376847705,2.0995452300007797,0.7045587773547325,0.3554997974147896,0.3413778450337033,True,True
167,5.7914715645772885,3.4568930404613303,2.2550442394388615,0.6651155918004692,0.3500452245288375,0.34325061640296706,True,True
168,5.465993623423679,3.671887306105287,1.637956761832867,0.30109184393824084,0.3575934161309463,0.3391251315213362,True,True
169,5.733100633293256,2.5848790918563305,4.022480987814371,1.2295341433600917,0.33484714865793014,0.35395098272097475,True,True
170,4.8654246941066015,2.7929717141991373,1.9675687584325192,0.380643135260004,0.36278027204808644,0.3380805786743121,True,True
171,5.559264152545355,3.9152729186369704,2.014439285211324,0.46963546479611545,0.35193607929964177,0.34201639782467286,True,True
172,5.366568505781069,3.2035574618816174,3.467604609049812,0.8797388753517401,0.3427697557393753,0.3479693351527548,True,True
173,4.927591588457043,3.1558028047481974,1.59487728661339,0.3071081349239756,0.3700190997228887,0.3339846130109463,True,True
174,6.279887943519456,3.657705798756277,3.601953333341614,1.4086183011949365,0.3378038558878998,0.34774868578507945,True,True
175,5.160228354328953,3.356579373007196,1.5962832929273663,0.35552852640339494,0.366866795477165,0.33517709267229534,True,True
176,4.877985113029273,2.7746077290366844,2.9319757804013786,1.0714751370011644,0.35101298514112245,0.34419197283858344,True,True
177,5.448597578197991,3.502387224145447,3.0911451745978917,1.2226033491180512,0.3449509157203663,0.34579438135924223,True,True
178,6.538387745676401,3.1022592978879047,4.65803247863529,1.4044855675451489,0.3291708957966657,0.352480742455398,True,True
179,4.712961450545539,2.9867957502948412,1.3188650367040813,0.2942674435767282,0.37129692773773665,0.3333027713315335,True,True
180,4.756688881510906,3.3203660539061937,1.523094365613707,0.2169949422228328,0.3746865419028072,0.33147740291835215,True,True
181,4.946361337323263,3.386071046656878,1.5793520573626163,0.39854028860992824,0.3720837269605493,0.33269537000933463,True,True
182,4.6579,3.2719,1.4245999999999999,0.1421,0.3727949435303617,0.3323958397771477,True,True
183,5.236463865697829,3.7370739434125593,1.4590753451736305,0.21561627830117008,0.3690675900748413,0.3336136868005486,True,True
184,5.317499137511306,3.373799057149149,3.4068122621329016,1.2084876830482862,0.34404555534726927,0.3465019988383792,True,True
185,4.734700000000001,3.4806499999999994,1.44035,0.13895,0.3703088001345935,0.33344402177458804,True,True
186,5.550803239113784,2.3960587454618203,4.190427183498367,1.4481768132144088,0.333716628418972,0.35288024842277604,True,True
187,4.582824807822113,2.9293665793124193,2.040521171179488,0.5738183569428352,0.36078052534064126,0.3390994634607486,True,True
188,5.064050252629915,3.667209872015557,1.6322362592629789,0.22992714051963398,0.3668706393836051,0.3350232598920498,True,True
189,5.734077011450003,3.2643769278785904,2.489626922531484,0.9325064879119209,0.3472839116420296,0.3447537828698567,True,True
190,4.669498882150834,2.8876791143038014,1.286432497895487,0.20706082457784683,0.37138903831000486,0.33343708251397924,True,True
191,5.360010972688933,3.927668178216146,1.3041494285134996,0.21140237653763794,0.36155553431347504,0.3370227112742965,True,True
192,4.709896611565842,3.0113822059968776,1.6792496590948347,0.2673295375444728,0.3713201701025116,0.3335077182285843,True,True
193,4.542280887509219,3.0949899194283335,1.4374163646550817,0.17171000336134642,0.3725636388725153,0.33283203926979305,True,True
194,4.88635,3.2695499999999997,1.2796499999999997,0.33825,0.36979240038059275,0.33381940859861814,True,True
195,5.068871996660797,3.392171986716783,1.4851062540954763,0.1816560511718075,0.37372024066379805,0.3316705095363445,True,True
196,4.747751891615856,3.0906926693769363,2.073372902874831,0.6579170087981129,0.3587099452726402,0.34015483522144135,True,True
197,4.9245116299259095,3.079786802928485,1.4598433375245532,0.26151129455672717,0.3734109767614456,0.3321288535984767,True,True
198,4.505071750895442,3.024260140198217,1.3753273676287872,0.26248011124200765,0.3718833581338471,0.33301819134709854,True,True
199,6.4761899810288295,3.346343467598553,4.3805138460266635,1.6071378154684652,0.3293785720151141,0.35258696379939086,True,True
