,x0,x1,x2,x3,y0,y1,sample,out_hull
0,4.7,3.2,1.3,0.2,1.0,0.0,False,False
1,5.0,3.6,1.4,0.2,1.0,0.0,False,False
2,5.4,3.9,1.7,0.4,1.0,0.0,False,False
3,4.6,3.4,1.4,0.3,1.0,0.0,False,False
4,4.4,2.9,1.4,0.2,0.31867665827211455,0.3888913126169517,True,False
5,4.9,3.1,1.5,0.1,0.32057544819601164,0.38654046095423045,True,False
6,4.8,3.0,1.4,0.1,0.31520609195089033,0.38935499221741665,True,False
7,4.3,3.0,1.1,0.1,0.3157659807495872,0.3886584904885669,True,False
8,5.8,4.0,1.2,0.2,0.3010017158841343,0.3933220071430466,True,True
9,5.7,4.4,1.5,0.4,0.2888471894333221,0.3968843384189976,True,True
10,5.4,3.9,1.3,0.4,0.31201218457469254,0.3877732660842276,True,True
11,5.1,3.5,1.4,0.3,1.0,0.0,False,False
12,5.1,3.8,1.5,0.3,1.0,0.0,False,False
13,5.4,3.4,1.7,0.2,0.30796954387486825,0.391806618408448,True,True
14,5.1,3.7,1.5,0.4,1.0,0.0,False,False
15,4.6,3.6,1.0,0.2,0.31004891889568575,0.38917660316323144,True,True
16,4.8,3.4,1.9,0.2,0.3116417716338295,0.3915815386912529,True,True
17,5.0,3.0,1.6,0.2,1.0,0.0,False,False
18,5.0,3.4,1.6,0.4,1.0,0.0,False,False
19,5.2,3.4,1.4,0.2,1.0,0.0,False,False
20,4.7,3.2,1.6,0.2,1.0,0.0,False,False
21,5.2,4.1,1.5,0.1,0.30222718058870585,0.39315007367985344,True,True
22,5.5,4.2,1.4,0.2,0.2989488592264427,0.39405904167573713,True,False
23,4.9,3.1,1.5,0.2,1.0,0.0,False,False
24,5.0,3.2,1.2,0.2,0.3276697287579285,0.382694937948117,True,False
25,5.5,3.5,1.3,0.2,0.30802552217879314,0.39134138161356175,True,True
26,4.9,3.6,1.4,0.1,0.32922246672814404,0.3816841515525133,True,False
27,5.1,3.4,1.5,0.2,1.0,0.0,False,False
28,5.0,3.5,1.3,0.3,1.0,0.0,False,False
