,x0,x1,x2,x3,y0,y1,sample,out_hull
0,5.1,3.5,1.4,0.2,1.0,0.0,False,False
1,4.9,3.0,1.4,0.2,1.0,0.0,False,False
2,4.6,3.1,1.5,0.2,1.0,0.0,False,False
3,5.0,3.6,1.4,0.2,1.0,0.0,False,False
4,5.4,3.9,1.7,0.4,1.0,0.0,False,False
5,4.6,3.4,1.4,0.3,1.0,0.0,False,False
6,4.4,2.9,1.4,0.2,0.3679321986366218,0.41112791927668085,True,False
7,4.9,3.1,1.5,0.1,0.36824641131258945,0.41092365357776633,True,False
8,4.8,3.0,1.4,0.1,0.3684109236705654,0.41085315910331277,True,False
9,4.3,3.0,1.1,0.1,0.3685476451101016,0.41076217865326126,True,False
10,5.8,4.0,1.2,0.2,0.3643638847584392,0.4127605141418165,True,False
11,5.7,4.4,1.5,0.4,0.36281118801323775,0.4133650809415607,True,False
12,5.4,3.9,1.3,0.4,0.3668236184802663,0.4115779633660479,True,True
13,5.1,3.5,1.4,0.3,1.0,0.0,False,False
14,5.7,3.8,1.7,0.3,1.0,0.0,False,False
15,5.1,3.8,1.5,0.3,1.0,0.0,False,False
16,5.4,3.4,1.7,0.2,0.36662748454145727,0.4117279594765658,True,True
17,5.1,3.7,1.5,0.4,1.0,0.0,False,False
18,4.6,3.6,1.0,0.2,0.3677704020033037,0.41109271525412205,True,True
19,5.1,3.3,1.7,0.5,1.0,0.0,False,False
20,4.8,3.4,1.9,0.2,0.3673141988890178,0.41142722221917083,True,True
21,5.0,3.0,1.6,0.2,1.0,0.0,False,False
22,5.0,3.4,1.6,0.4,1.0,0.0,False,False
23,5.2,3.5,1.5,0.2,1.0,0.0,False,False
24,4.7,3.2,1.6,0.2,1.0,0.0,False,False
25,4.8,3.1,1.6,0.2,1.0,0.0,False,False
26,5.2,4.1,1.5,0.1,0.3655744371682955,0.41214813341019374,True,True
27,5.5,4.2,1.4,0.2,0.36568407492097577,0.4121262820405352,True,True
28,5.0,3.2,1.2,0.2,0.3694346438706356,0.41027837668132805,True,True
29,5.5,3.5,1.3,0.2,0.36663241330053425,0.41171574425462343,True,False
30,4.9,3.6,1.4,0.1,0.36962353049642893,0.4101543887113979,True,False
31,4.4,3.0,1.3,0.2,1.0,0.0,False,False
32,4.5,2.3,1.3,0.3,0.36595740225768614,0.41213234149734085,True,False
33,4.4,3.2,1.3,0.2,0.36903747884285154,0.41053030180484,True,True
34,5.0,3.5,1.6,0.6,0.3675983277406914,0.4112451750445545,True,False
35,4.8,3.0,1.4,0.3,1.0,0.0,False,False
36,5.1,3.8,1.6,0.2,1.0,0.0,False,False
37,4.6,3.2,1.4,0.2,1.0,0.0,False,False
38,5.3,3.7,1.5,0.2,1.0,0.0,False,False
39,7.0,3.2,4.7,1.4,0.0,1.0,False,False
40,6.4,3.2,4.5,1.5,0.0,1.0,False,False
41,6.3,3.3,4.7,1.6,0.0,1.0,False,False
