,x0,x1,x2,x3,y0,y1,sample,out_hull
0,5.1,3.5,1.4,0.2,1.0,0.0,False,False
1,4.9,3.0,1.4,0.2,1.0,0.0,False,False
2,4.6,3.1,1.5,0.2,1.0,0.0,False,False
3,4.4,2.9,1.4,0.2,0.3547846131064425,0.4011649065276446,True,False
4,4.9,3.1,1.5,0.1,0.355746668844891,0.39999374398510495,True,False
5,4.8,3.0,1.4,0.1,0.3490906215525242,0.40396369414681976,True,False
6,4.3,3.0,1.1,0.1,0.3498484089464853,0.4033578098279083,True,True
7,5.8,4.0,1.2,0.2,0.3359019903786487,0.40990150505761863,True,True
8,5.7,4.4,1.5,0.4,0.32176717928037124,0.41604539778220134,True,True
9,5.4,3.9,1.3,0.4,0.34510091144685673,0.4043741154794752,True,True
10,5.7,3.8,1.7,0.3,1.0,0.0,False,False
11,5.4,3.4,1.7,0.2,0.34226072237310246,0.407289811923536,True,True
12,5.1,3.7,1.5,0.4,1.0,0.0,False,False
13,4.6,3.6,1.0,0.2,0.3426598757440815,0.40580286562733675,True,True
14,5.1,3.3,1.7,0.5,1.0,0.0,False,False
15,4.8,3.4,1.9,0.2,0.3449300417331157,0.4066774661373226,True,True
16,5.0,3.0,1.6,0.2,1.0,0.0,False,False
17,5.0,3.4,1.6,0.4,1.0,0.0,False,False
18,5.2,3.5,1.5,0.2,1.0,0.0,False,False
19,4.8,3.1,1.6,0.2,1.0,0.0,False,False
20,5.4,3.4,1.5,0.4,1.0,0.0,False,False
21,5.2,4.1,1.5,0.1,0.3361246341889537,0.4093324412104219,True,False
22,5.5,4.2,1.4,0.2,0.33343383437659857,0.4112554386524843,True,True
23,4.9,3.1,1.5,0.2,1.0,0.0,False,False
24,5.0,3.2,1.2,0.2,0.35979610595689804,0.39795593191128403,True,False
25,5.5,3.5,1.3,0.2,0.34208581396875354,0.407286123105366,True,True
26,4.9,3.6,1.4,0.1,0.3606491468436194,0.397303500934133,True,False
27,4.4,3.0,1.3,0.2,1.0,0.0,False,False
28,5.1,3.4,1.5,0.2,1.0,0.0,False,False
29,5.0,3.5,1.3,0.3,1.0,0.0,False,False
30,4.5,2.3,1.3,0.3,0.3421956726135744,0.4070259989569763,True,True
31,4.4,3.2,1.3,0.2,0.36129611638926884,0.3971663614740114,True,False
32,5.0,3.5,1.6,0.6,0.34117874935779774,0.4081280817642438,True,False
33,5.1,3.8,1.9,0.4,1.0,0.0,False,False
34,5.1,3.8,1.6,0.2,1.0,0.0,False,False
35,4.6,3.2,1.4,0.2,1.0,0.0,False,False
36,5.3,3.7,1.5,0.2,1.0,0.0,False,False
37,6.4,3.2,4.5,1.5,0.0,1.0,False,False
38,6.5,2.8,4.6,1.5,0.0,1.0,False,False
39,4.9,2.4,3.3,1.0,0.0,1.0,False,False
40,5.2,2.7,3.9,1.4,0.0,1.0,False,False
41,5.0,2.0,3.5,1.0,0.33325548116832326,0.413895954583989,True,False
