,x0,x1,x2,x3,y0,y1,sample,out_hull
0,5.1,3.5,1.4,0.2,1.0,0.0,False,False
1,4.9,3.0,1.4,0.2,1.0,0.0,False,False
2,4.7,3.2,1.3,0.2,1.0,0.0,False,False
3,5.4,3.9,1.7,0.4,1.0,0.0,False,False
4,4.6,3.4,1.4,0.3,1.0,0.0,False,False
5,5.0,3.4,1.5,0.2,1.0,0.0,False,False
6,4.4,2.9,1.4,0.2,0.36903851456038445,0.37011677697974577,True,False
7,4.9,3.1,1.5,0.1,0.3729425108276653,0.36742077763620984,True,False
8,5.4,3.7,1.5,0.2,1.0,0.0,False,False
9,4.8,3.4,1.6,0.2,1.0,0.0,False,False
10,4.8,3.0,1.4,0.1,0.3667851403048297,0.3708107691895574,True,False
11,4.3,3.0,1.1,0.1,0.36729190827306973,0.36987862640664143,True,False
12,5.8,4.0,1.2,0.2,0.3531972955271634,0.37610324019617913,True,False
13,5.7,4.4,1.5,0.4,0.33904021357534403,0.38126976769965537,True,False
14,5.4,3.9,1.3,0.4,0.36296740107233677,0.37037739741940323,True,True
15,5.7,3.8,1.7,0.3,1.0,0.0,False,False
16,5.1,3.8,1.5,0.3,1.0,0.0,False,False
17,5.4,3.4,1.7,0.2,0.36034953179462076,0.3735853891875238,True,True
18,4.6,3.6,1.0,0.2,0.36105125213623307,0.37141612045803835,True,False
19,5.1,3.3,1.7,0.5,1.0,0.0,False,False
20,4.8,3.4,1.9,0.2,0.36233392470771153,0.37338531436555455,True,False
21,5.0,3.0,1.6,0.2,1.0,0.0,False,False
22,5.2,3.5,1.5,0.2,1.0,0.0,False,False
23,5.4,3.4,1.5,0.4,1.0,0.0,False,False
24,5.2,4.1,1.5,0.1,0.3526487483308504,0.37635051930716723,True,True
25,5.5,4.2,1.4,0.2,0.3518485033791986,0.3768460492096726,True,True
26,4.9,3.1,1.5,0.2,1.0,0.0,False,False
27,5.0,3.2,1.2,0.2,0.38050425104426017,0.3631200660410775,True,True
28,5.5,3.5,1.3,0.2,0.36015762494846526,0.37305722017256837,True,True
29,4.9,3.6,1.4,0.1,0.3813156377506918,0.36262131523121693,True,True
30,5.1,3.4,1.5,0.2,1.0,0.0,False,False
31,5.0,3.5,1.3,0.3,1.0,0.0,False,False
32,4.5,2.3,1.3,0.3,0.359173712514069,0.3733222705984105,True,False
33,4.4,3.2,1.3,0.2,0.3799932875348495,0.3635877936072386,True,False
34,5.0,3.5,1.6,0.6,0.35868978210455466,0.3738248005144842,True,True
35,5.1,3.8,1.6,0.2,1.0,0.0,False,False
36,4.6,3.2,1.4,0.2,1.0,0.0,False,False
37,5.0,3.3,1.4,0.2,1.0,0.0,False,False
38,7.0,3.2,4.7,1.4,0.0,1.0,False,False
39,6.4,3.2,4.5,1.5,0.0,1.0,False,False
40,5.7,2.8,4.5,1.3,0.0,1.0,False,False
41,6.3,3.3,4.7,1.6,0.0,1.0,False,False
