,x0,x1,x2,x3,y0,y1,sample,out_hull
0,5.1,3.5,1.4,0.2,0.9999999999995933,1.174136051921481e-13,True,True
1,4.9,3.0,1.4,0.2,0.999999999999981,4.55835789233957e-15,True,True
2,4.7,3.2,1.3,0.2,0.9999999999997174,7.917960165865711e-14,True,True
3,5.0,3.6,1.4,0.2,0.9999999999988438,3.8942653673007616e-13,True,True
4,4.6,3.4,1.4,0.3,1.0,0.0,False,False
5,5.0,3.4,1.5,0.2,0.9999999999995554,1.240167013270863e-13,True,False
6,4.4,2.9,1.4,0.2,0.9999999999999655,8.386717810222707e-15,True,True
7,4.9,3.1,1.5,0.1,0.999999999999928,1.7933083208151697e-14,True,True
8,5.4,3.7,1.5,0.2,0.8218842425831369,0.17811575741398394,True,True
9,4.8,3.4,1.6,0.2,1.0,0.0,False,False
10,4.8,3.0,1.4,0.1,0.7671843839385436,0.19381555209306725,True,True
11,4.3,3.0,1.1,0.1,0.9999999999998932,2.8405156297732546e-14,True,False
12,5.8,4.0,1.2,0.2,9.06089299639485e-13,0.999999999999075,True,True
13,5.7,4.4,1.5,0.4,0.30309101306353864,0.5865498010756781,True,True
14,5.4,3.9,1.3,0.4,0.8016288181938283,0.19063485499652896,True,True
15,5.1,3.5,1.4,0.3,0.9999999999995884,1.19093697683544e-13,True,True
16,5.1,3.8,1.5,0.3,0.9999999999995046,1.4616313076677546e-13,True,True
17,5.4,3.4,1.7,0.2,0.31571460638580373,0.6643986820101592,True,True
18,5.1,3.7,1.5,0.4,0.9999999999994398,1.7154959022044201e-13,True,True
19,4.6,3.6,1.0,0.2,0.9999999999999893,2.4794823927301787e-15,True,True
20,5.1,3.3,1.7,0.5,1.0,0.0,False,False
21,4.8,3.4,1.9,0.2,0.8855296497231295,0.11294109269789454,True,True
22,5.0,3.4,1.6,0.4,0.9999999999999336,1.801841948616397e-14,True,True
23,4.7,3.2,1.6,0.2,0.9999999999999828,4.162657042128637e-15,True,False
24,4.8,3.1,1.6,0.2,0.9999999999999915,2.04600646943483e-15,True,True
25,5.4,3.4,1.5,0.4,0.9999999999999852,3.571630380378798e-15,True,True
26,5.2,4.1,1.5,0.1,0.45458149243585805,0.47836167384699835,True,True
27,5.5,4.2,1.4,0.2,0.34220919142830514,0.6577908085695512,True,True
28,4.9,3.1,1.5,0.2,1.0,0.0,False,False
29,5.0,3.2,1.2,0.2,0.9760734667331251,0.023926533264919628,True,True
30,5.5,3.5,1.3,0.2,0.670989481357188,0.3290105186407665,True,True
31,4.9,3.6,1.4,0.1,0.9999999999999858,3.4172263273716006e-15,True,True
32,4.4,3.0,1.3,0.2,1.0,0.0,False,False
33,5.1,3.4,1.5,0.2,0.9999999999990827,2.9657946338767246e-13,True,False
34,4.5,2.3,1.3,0.3,0.8444632654909485,0.1555367344989104,True,True
35,4.4,3.2,1.3,0.2,0.9999999999999951,1.1916813445892934e-15,True,True
36,5.0,3.5,1.6,0.6,0.9999999999999881,2.7710485690902073e-15,True,True
37,5.1,3.8,1.9,0.4,0.9999999999997905,5.245176450752858e-14,True,False
38,4.8,3.0,1.4,0.3,0.9999999999078616,9.000998612108754e-11,True,True
39,5.1,3.8,1.6,0.2,0.9999999999989005,3.714700108755096e-13,True,True
40,4.6,3.2,1.4,0.2,0.9999999999999671,8.391505360813494e-15,True,True
41,5.0,3.3,1.4,0.2,0.9999999999992204,2.2532021961730048e-13,True,True
42,7.0,3.2,4.7,1.4,0.0,1.0,False,False
43,5.5,2.3,4.0,1.3,1.3639316746474295e-13,0.9999999999981043,True,True
44,6.5,2.8,4.6,1.5,0.0,1.0,False,False
45,5.7,2.8,4.5,1.3,3.7028768083356854e-13,0.8762486721794657,True,True
46,6.3,3.3,4.7,1.6,2.0111026856150352e-12,0.871434810082841,True,True
47,5.2,2.7,3.9,1.4,0.0,1.0,False,False
48,5.0,2.0,3.5,1.0,3.1888769127996465e-16,0.9999999999999984,True,True
49,5.9,3.0,4.2,1.5,2.001974755558409e-13,0.9999999999990304,True,True
50,6.0,2.2,4.0,1.0,8.245134293545689e-16,0.9999999999999966,True,False
51,6.1,2.9,4.7,1.4,2.7482717865233265e-14,0.9999999999999453,True,True
52,5.6,2.9,3.6,1.3,4.953092989740641e-16,0.9999999999999978,True,False
53,6.7,3.1,4.4,1.4,0.0696330077069282,0.9285134972980358,True,True
54,5.8,2.7,4.1,1.0,0.08246467282603887,0.8883758912681929,True,True
55,6.2,2.2,4.5,1.5,0.05204921141920124,0.8119021812245084,True,False
56,5.6,2.5,3.9,1.1,1.3309518923620145e-13,0.999999999999573,True,True
57,5.9,3.2,4.8,1.8,1.2449308544289184e-12,0.88931062919853,True,True
58,6.1,2.8,4.0,1.3,0.08483376686022061,0.9151662326798836,True,True
59,6.3,2.5,4.9,1.5,3.183074400612419e-13,0.8347262736631431,True,True
60,6.1,2.8,4.7,1.2,0.0011658719104309311,0.9986150980493727,True,True
61,6.4,2.9,4.3,1.3,1.4116940119863118e-13,0.9999999999996447,True,True
62,6.6,3.0,4.4,1.4,1.1057509564359614e-14,0.9999999999999751,True,True
63,6.8,2.8,4.8,1.4,3.838162880561667e-14,0.9999999999999201,True,True
64,6.7,3.0,5.0,1.7,1.073296394037476e-12,0.7453605356179859,True,True
65,5.7,2.6,3.5,1.0,0.0,1.0,False,False
66,5.5,2.4,3.8,1.1,6.399512614897586e-14,0.999999999999797,True,True
67,5.5,2.4,3.7,1.0,1.471724102745725e-15,0.9999999999999942,True,True
68,5.8,2.7,3.9,1.2,1.1686830311111871e-13,0.9999999999996364,True,True
69,6.0,2.7,5.1,1.6,2.5337602101027234e-13,0.7473336251286418,True,True
70,5.4,3.0,4.5,1.5,1.4593424706101163e-14,0.9999999999999236,True,True
