,x0,x1,x2,x3,y0,y1,sample,out_hull
0,0.58,0.44,0.13,0.5,1.0,0.0,False,False
1,0.48,0.45,0.2,0.5,1.0,0.0,False,False
2,0.43,0.39,0.21,0.5,1.0,0.0,False,False
3,0.42,0.37,0.2,0.5,1.0,0.0,False,False
4,0.58,0.47,0.11,0.5,1.0,0.0,False,False
5,0.5,0.34,0.21,0.5,1.0,0.0,False,False
6,0.61,0.6,0.21,0.5,1.0,0.0,False,False
7,0.7980474653347077,0.8722083772279123,0.36957707854302635,0.5485819180187919,0.8006392059066293,0.09178360810338883,True,False
8,0.53,0.54,0.1,0.5,1.0,0.0,False,False
9,0.33,0.55,0.43,0.5,1.0,0.0,False,False
10,0.78,0.74,0.26,0.5,0.0,1.0,False,False
11,0.86,0.68,0.24,0.5,0.0,0.0,False,False
12,0.86,0.74,0.4,0.5,0.0,0.0,False,False
13,0.79,0.57,0.28,0.5,0.0,0.0,False,False
14,0.53,0.31,0.39,0.5,1.0,0.0,False,False
15,0.74,0.75,0.47,0.5,0.0,0.0,False,False
16,0.45,0.46,0.43,0.5,1.0,0.0,False,False
17,0.37,0.32,0.18,0.5,1.0,0.0,False,False
18,0.48,0.43,0.32,0.5,1.0,0.0,False,False
19,0.41,0.46,0.19,0.5,1.0,0.0,False,False
20,0.33,0.43,0.16,0.5,1.0,0.0,False,False
21,0.48,0.23,0.27,0.5,1.0,0.0,False,False
22,0.44,0.52,0.23,0.5,1.0,0.0,False,False
23,0.3,0.32,0.19,0.5,1.0,0.0,False,False
24,0.4,0.44,0.47,0.5,1.0,0.0,False,False
25,0.45,0.51,0.16,0.5,1.0,0.0,False,False
26,0.4,0.38,0.16,0.5,1.0,0.0,False,False
27,0.53,0.51,0.05,0.5,0.8298057165829575,0.07420334353844805,True,False
28,0.62,0.51,0.42,0.5,1.0,0.0,False,False
29,0.35,0.58,0.16,0.5,1.0,0.0,False,False
30,0.48,0.54,0.17,0.5,1.0,0.0,False,False
31,0.47,0.32,0.3,0.5,1.0,0.0,False,False
32,0.7791766059325058,0.8560055295763679,0.409739905767617,0.5485819180187919,0.805970441195267,0.08785097977074371,True,False
33,0.64,0.6,0.19,0.5,1.0,0.0,False,False
34,0.37,0.46,0.27,0.5,1.0,0.0,False,False
35,0.28,0.37,0.09,0.5,1.0,0.0,False,False
36,0.26,0.36,0.34,0.5,1.0,0.0,False,False
37,0.58,0.5,0.12,0.5,1.0,0.0,False,False
38,0.41,0.39,0.34,0.5,1.0,0.0,False,False
39,0.36,0.68,0.16,0.5,1.0,0.0,False,False
40,0.42,0.31,0.15,0.5,1.0,0.0,False,False
41,0.67,0.71,0.65,0.5,1.0,0.0,False,False
42,0.49,0.47,0.16,0.5,1.0,0.0,False,False
43,0.42,0.51,0.12,0.5,1.0,0.0,False,False
44,0.57,0.51,0.18,0.5,1.0,0.0,False,False
45,0.31,0.44,0.23,0.5,1.0,0.0,False,False
46,0.31,0.31,0.33,0.5,1.0,0.0,False,False
47,0.38,0.37,0.21,0.5,1.0,0.0,False,False
48,0.8270473031003518,0.7539081542372885,0.15875228367656263,0.5485819180187919,0.8028337745788008,0.09049914945551873,True,False
49,0.58,0.56,0.12,0.5,1.0,0.0,False,False
50,0.53,0.38,0.25,0.5,1.0,0.0,False,False
51,0.34,0.36,0.11,0.5,1.0,0.0,False,False
52,0.69,0.61,0.27,0.5,0.0,0.0,False,False
53,0.41,0.45,0.17,0.5,1.0,0.0,False,False
54,0.31,0.46,0.52,0.5,0.8433961672509134,0.06702428217830143,True,False
55,0.59,0.58,0.21,0.5,1.0,0.0,False,False
56,0.39,0.28,0.12,0.5,1.0,0.0,False,False
57,0.56,0.43,0.16,0.5,1.0,0.0,False,False
58,0.27,0.36,0.33,0.5,1.0,0.0,False,False
59,0.35,0.4,0.22,0.5,1.0,0.0,False,False
60,0.42,0.32,0.21,0.5,1.0,0.0,False,False
61,0.23,0.2,0.2,0.5,1.0,0.0,False,False
62,0.55,0.54,0.22,0.5,1.0,0.0,False,False
63,0.36,0.24,0.16,0.5,1.0,0.0,False,False
64,0.6,0.56,0.2,0.5,1.0,0.0,False,False
65,0.41,0.24,0.26,0.5,1.0,0.0,False,False
66,0.43,0.39,0.14,0.5,1.0,0.0,False,False
67,0.5,0.51,0.09,0.5,1.0,0.0,False,False
68,0.54,0.42,0.16,0.5,0.0,0.0,False,False
69,0.46,0.43,0.79,0.5,0.8359915375601071,0.07022437451260675,True,False
70,0.61,0.3,0.12,0.5,0.8349368997052452,0.07110106988190579,True,False
71,0.37,0.53,0.23,0.5,1.0,0.0,False,False
72,0.83,0.58,0.04,0.5,0.8162119337905255,0.08256027470307543,True,True
73,0.35,0.39,0.11,0.5,1.0,0.0,False,False
74,0.71,0.56,0.27,0.5,0.0,0.0,False,False
75,0.57,0.59,0.16,0.5,0.0,0.0,False,False
76,0.92,0.61,0.22,0.5,0.7998837593399234,0.09212174887729183,True,False
77,0.34,0.38,0.19,0.5,0.0,0.0,False,False
78,0.73,0.55,0.16,0.5,0.0,0.0,False,False
79,0.55,0.46,0.31,0.5,1.0,0.0,False,False
80,0.35,0.6,0.13,0.5,1.0,0.0,False,False
81,0.33,0.44,0.08,0.5,1.0,0.0,False,False
82,0.74,0.72,0.25,0.5,0.0,1.0,False,False
83,0.54,0.57,0.19,0.5,1.0,0.0,False,False
84,0.91,0.77,0.47,0.5,0.0,1.0,False,False
85,0.81,0.9,0.41,0.5,0.794250598593978,0.09667441402780529,True,False
86,0.84,0.66,0.78,0.5,0.8175397464160231,0.07896114468705531,True,False
87,0.37,0.43,0.27,0.5,1.0,0.0,False,False
88,0.56,0.59,0.16,0.5,1.0,0.0,False,False
89,0.44,0.44,0.15,0.5,1.0,0.0,False,False
90,0.6,0.6,0.3,0.5,1.0,0.0,False,False
91,0.35,0.68,0.4,0.5,0.8245869028914874,0.07708797200117742,True,False
92,0.7,0.69,0.33,0.5,0.0,1.0,False,False
93,0.23,0.3,0.22,0.5,1.0,0.0,False,False
94,0.56,0.54,0.14,0.5,1.0,0.0,False,False
95,0.31,0.31,0.18,0.5,1.0,0.0,False,False
96,0.27,0.51,0.35,0.5,1.0,0.0,False,False
97,0.54,0.56,0.18,0.5,1.0,0.0,False,False
98,0.17,0.38,0.09,0.5,0.850893854299688,0.06316542075103884,True,False
99,0.43,0.51,0.15,0.5,1.0,0.0,False,False
100,0.91,0.69,0.45,0.5,0.0,0.0,False,False
101,0.43,0.54,0.16,0.5,1.0,0.0,False,False
102,0.34,0.66,0.16,0.5,1.0,0.0,False,False
103,0.69,0.48,0.15,0.5,0.0,0.0,False,False
104,0.4,0.34,0.17,0.5,1.0,0.0,False,False
105,0.58,0.48,0.1,0.5,1.0,0.0,False,False
106,0.58,0.48,0.12,0.5,1.0,0.0,False,False
107,0.41,0.6,0.29,0.5,1.0,0.0,False,False
108,0.6,0.48,0.52,0.5,1.0,0.0,False,False
109,0.47,0.49,0.17,0.5,1.0,0.0,False,False
110,0.28,0.51,0.11,0.5,1.0,0.0,False,False
111,0.56,0.57,0.39,1.0,0.8163925168702745,0.08193499835166693,True,False
112,0.46,0.57,0.15,0.5,1.0,0.0,False,False
113,0.43,0.42,0.22,0.5,1.0,0.0,False,False
114,0.44,0.42,0.14,0.5,1.0,0.0,False,False
115,0.7912377580165068,0.6266830371837324,0.7222732897529982,0.5464119045439757,0.8191315434050884,0.07945034201958122,True,False
116,0.48,0.57,0.09,0.5,1.0,0.0,False,False
117,0.61,0.57,0.21,0.5,1.0,0.0,False,False
118,0.37,0.22,0.35,0.5,1.0,0.0,False,False
119,0.51,0.48,0.22,0.5,1.0,0.0,False,False
