,x0,x1,x2,x3,y0,y1,sample,out_hull
0,0.58,0.44,0.13,0.5,1.0,0.0,False,False
1,0.43,0.39,0.21,0.5,1.0,0.0,False,False
2,0.42,0.37,0.2,0.5,1.0,0.0,False,False
3,0.58,0.47,0.11,0.5,1.0,0.0,False,False
4,0.5,0.34,0.21,0.5,1.0,0.0,False,False
5,0.8,0.88,0.39,0.5,0.0,1.0,False,False
6,0.53,0.54,0.1,0.5,1.0,0.0,False,False
7,0.78,0.74,0.26,0.5,0.0,1.0,False,False
8,0.86,0.68,0.24,0.5,0.0,0.0,False,False
9,0.86,0.74,0.4,0.5,0.006519900728552167,0.023227755147630536,True,False
10,0.53,0.31,0.39,0.5,1.0,0.0,False,False
11,0.74,0.75,0.47,0.5,0.0,0.0,False,False
12,0.45,0.46,0.43,0.5,1.0,0.0,False,False
13,0.37,0.32,0.18,0.5,1.0,0.0,False,False
14,0.48,0.43,0.32,0.5,1.0,0.0,False,False
15,0.41,0.46,0.19,0.5,0.8411457385752559,1.3861385346260856e-05,True,False
16,0.5,0.52,0.3,0.5,1.0,0.0,False,False
17,0.33,0.43,0.16,0.5,1.0,0.0,False,False
18,0.48,0.23,0.27,0.5,1.0,0.0,False,False
19,0.44,0.52,0.23,0.5,1.0,0.0,False,False
20,0.3,0.32,0.19,0.5,1.0,0.0,False,False
21,0.4,0.44,0.47,0.5,1.0,0.0,False,False
22,0.45,0.51,0.16,0.5,0.999999999818135,9.094066973123649e-11,True,False
23,0.4,0.38,0.16,0.5,1.0,0.0,False,False
24,0.53,0.51,0.05,0.5,0.9999999998563445,6.012595506853248e-11,True,False
25,0.62,0.51,0.42,0.5,0.9999999998658776,3.4544562457094424e-11,True,False
26,0.35,0.58,0.16,0.5,0.999999999935758,2.8751843833239373e-11,True,False
27,0.48,0.54,0.17,0.5,1.0,0.0,False,False
28,0.47,0.32,0.3,0.5,0.9999999992307642,3.849626337416074e-10,True,False
29,0.58,0.48,0.47,0.5,1.0,0.0,False,False
30,0.64,0.6,0.19,0.5,1.0,0.0,False,False
31,0.37,0.46,0.27,0.5,1.0,0.0,False,False
32,0.28,0.37,0.09,0.5,0.9999999968445079,1.5796646013240057e-09,True,False
33,0.26,0.36,0.34,0.5,1.0,0.0,False,False
34,0.51,0.34,0.19,0.5,1.0,0.0,False,False
35,0.58,0.5,0.12,0.5,1.0,0.0,False,False
36,0.41,0.39,0.34,0.5,1.0,0.0,False,False
37,0.36,0.68,0.16,0.5,1.0,0.0,False,False
38,0.42,0.31,0.15,0.5,1.0,0.0,False,False
39,0.67,0.71,0.65,0.5,4.477795413944767e-09,3.4596264935366855e-10,True,False
40,0.49,0.47,0.16,0.5,1.0,0.0,False,False
41,0.42,0.51,0.12,0.5,1.0,0.0,False,False
42,0.31,0.44,0.23,0.5,1.0,0.0,False,False
43,0.31,0.31,0.33,0.5,0.9999209736514059,3.897946686677461e-05,True,True
