,lettr,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar
0,0,4,9,6,6,2,9,5,3,8
1,0,3,6,5,4,1,7,5,3,7
2,0,5,9,6,7,7,8,8,8,4
3,0,4,10,7,7,5,7,5,2,4
4,0,4,9,7,7,5,8,5,2,5
5,0,4,9,7,6,3,12,2,4,9
6,0,4,5,6,7,2,7,4,3,8
7,0,3,2,5,3,2,6,2,2,6
8,0,2,7,4,5,2,12,2,4,9
9,0,3,4,6,6,2,9,3,3,9
10,0,2,2,4,3,1,6,2,2,6
11,0,4,11,7,8,6,10,3,1,7
12,0,2,5,4,4,2,11,3,3,8
13,0,3,8,6,5,2,8,5,3,8
14,0,2,5,4,4,2,10,2,2,8
15,0,4,9,6,7,4,8,2,1,6
16,0,7,13,7,7,4,12,3,6,10
17,0,4,10,7,7,2,5,5,3,7
18,0,4,10,6,8,4,13,2,4,10
19,0,6,9,6,4,3,11,0,4,11
20,0,2,4,4,3,1,8,2,2,7
21,0,1,1,2,1,1,7,4,2,7
22,0,2,3,3,1,1,7,2,2,7
23,0,3,5,6,4,2,7,1,2,7
24,0,4,9,6,7,6,8,6,6,3
25,0,4,7,6,5,3,9,3,2,7
26,0,5,10,7,8,5,7,3,2,6
27,0,3,7,5,5,3,11,2,2,9
28,0,6,12,6,6,3,13,1,5,10
29,0,2,3,4,2,1,10,2,3,8
30,0,2,3,3,2,1,10,2,2,9
31,0,2,9,4,6,3,11,2,1,8
32,0,4,10,6,8,4,9,2,2,7
33,0,3,6,5,4,3,11,2,2,8
34,0,9,15,7,8,4,8,2,3,7
35,0,3,5,6,6,2,8,3,3,8
36,0,4,5,6,4,4,9,8,3,6
37,0,1,3,3,2,1,6,3,2,7
38,0,4,7,6,6,5,8,8,2,5
39,0,5,9,5,5,3,12,2,5,10
40,0,3,7,5,5,3,12,3,2,8
41,0,3,4,5,3,2,10,1,3,8
42,0,5,11,8,9,5,12,3,3,9
43,0,7,15,5,8,4,10,3,3,8
44,0,5,11,7,8,5,7,4,3,7
45,0,2,6,4,4,2,11,3,3,8
46,0,4,9,6,7,5,7,5,2,5
47,0,3,5,5,5,4,8,8,2,7
48,0,3,7,5,5,3,8,2,2,7
49,0,4,9,6,7,3,11,2,4,8
50,0,6,11,5,6,3,8,4,3,7
51,0,5,10,7,8,8,8,7,8,3
52,0,3,8,5,6,3,8,3,2,7
53,0,2,7,4,5,2,12,4,4,8
54,0,6,14,6,8,4,12,2,3,11
55,0,1,3,2,1,1,9,3,1,8
56,0,3,7,4,5,2,9,3,3,7
57,0,6,9,8,8,7,7,7,2,8
58,0,3,6,5,4,3,8,3,2,6
59,0,3,5,5,3,2,8,2,2,7
60,0,3,8,5,5,2,8,6,3,8
61,0,4,7,5,5,3,7,5,3,8
62,0,1,3,2,2,1,9,3,2,7
63,0,2,4,4,6,2,7,5,3,8
64,0,4,10,7,7,6,10,5,2,8
65,0,2,7,4,4,1,8,4,3,8
66,0,2,6,4,4,2,8,4,2,8
67,0,1,0,2,0,0,7,4,2,8
68,0,3,7,5,5,3,11,2,3,8
69,0,2,4,4,3,2,7,2,2,7
70,0,3,6,4,4,3,8,2,2,7
71,0,4,9,6,7,6,8,7,8,4
72,0,5,8,8,7,7,7,8,2,8
73,0,4,6,7,8,2,8,6,3,8
74,0,2,1,3,2,1,8,2,2,7
75,0,3,5,5,4,2,9,2,1,8
76,0,2,4,4,3,2,8,2,2,7
77,0,2,7,4,4,2,7,4,3,7
78,0,6,14,5,8,4,9,4,3,8
79,0,1,3,2,2,1,10,3,2,8
80,0,4,10,7,8,5,12,3,2,8
81,0,4,7,6,5,6,8,5,7,4
82,0,3,3,5,4,1,7,5,3,8
83,0,5,10,5,6,3,10,2,4,10
84,0,1,1,2,1,0,7,4,2,8
85,0,2,1,3,1,0,7,4,2,8
86,0,3,11,5,8,4,12,3,2,8
87,0,3,8,4,6,3,11,3,2,8
88,0,3,8,4,6,3,6,4,2,7
89,0,4,10,7,7,3,12,3,4,9
90,0,6,9,5,4,2,11,3,3,10
91,0,3,10,5,8,4,11,3,2,8
92,0,3,8,6,6,4,11,2,2,8
93,0,2,1,3,3,1,7,2,1,8
94,0,2,7,3,4,1,7,6,3,8
95,0,4,8,6,6,6,8,9,7,4
96,0,4,11,7,8,5,12,2,2,8
97,0,4,9,6,6,2,7,4,3,7
98,0,2,1,3,2,1,9,3,2,8
99,0,3,8,5,6,3,11,2,2,7
100,0,1,3,2,2,1,10,2,2,8
101,0,3,5,6,3,2,9,2,2,8
102,0,7,12,7,7,4,12,1,4,11
103,0,1,3,2,2,1,10,2,3,7
104,0,1,3,3,2,1,8,3,2,7
105,0,1,0,2,0,0,8,3,2,8
106,0,6,11,6,6,4,10,2,4,10
107,0,3,8,5,6,3,11,3,2,8
108,0,6,13,5,7,3,8,1,2,6
109,0,6,11,8,9,9,8,7,8,3
110,0,2,4,4,2,2,11,2,2,9
111,0,1,3,2,1,1,7,2,2,7
112,0,3,9,5,6,4,8,2,1,6
113,0,2,7,5,5,4,8,5,2,7
114,0,4,11,6,8,4,12,2,4,9
115,0,4,9,6,6,2,6,3,3,7
116,0,2,1,4,3,2,8,1,2,7
117,0,3,5,6,6,2,6,5,3,7
118,0,3,3,5,4,1,8,6,3,8
119,0,4,8,6,6,3,9,3,2,7
120,0,4,9,7,7,4,12,3,2,8
121,0,3,7,5,5,3,11,2,2,8
122,0,3,10,5,8,3,13,4,5,9
123,0,3,6,5,4,3,8,2,2,7
124,0,3,7,5,5,3,12,3,3,8
125,0,4,9,6,7,4,13,2,4,9
126,0,3,9,5,6,4,8,2,1,7
127,0,6,9,9,8,8,8,8,3,5
128,0,2,4,3,3,1,8,2,2,7
129,0,2,1,3,1,0,7,4,2,7
130,0,4,10,6,8,4,7,5,3,8
131,0,2,1,4,2,1,7,2,2,7
132,0,3,11,6,8,4,12,3,3,8
133,0,5,8,6,6,6,8,9,7,5
134,0,1,3,2,1,1,11,3,3,8
135,0,3,10,5,7,4,11,3,2,8
136,0,7,10,10,9,8,6,8,3,8
137,0,3,8,5,6,2,11,2,4,8
138,0,3,9,5,7,4,6,4,3,7
139,0,3,9,5,6,3,10,3,2,7
140,0,4,9,7,7,3,12,2,4,9
141,0,1,3,2,2,1,10,2,2,8
142,0,2,1,3,1,1,7,4,2,8
143,0,1,0,2,0,0,8,4,2,8
144,0,6,7,8,6,6,7,7,3,6
145,0,10,14,8,8,4,11,1,3,10
146,0,2,2,4,4,2,8,2,2,7
147,0,4,9,6,7,4,10,3,2,8
148,0,1,3,2,1,1,6,2,1,7
149,0,3,7,4,5,3,9,4,3,8
150,0,5,9,5,5,3,10,2,4,10
151,0,4,5,6,8,2,8,4,3,8
152,0,4,11,7,8,2,7,5,3,7
153,0,3,7,5,5,2,12,3,4,9
154,0,3,9,6,7,4,10,2,1,7
155,0,3,7,5,5,3,8,2,2,6
156,0,4,9,3,4,2,11,5,4,9
157,0,3,5,5,5,4,9,8,3,5
158,0,4,7,6,5,3,10,1,3,9
159,0,5,7,7,6,6,9,8,3,4
160,0,2,3,3,2,1,8,2,2,7
161,0,3,8,5,6,3,12,2,3,8
162,0,3,9,6,7,5,7,5,2,5
163,0,2,2,4,3,2,7,2,2,7
164,0,2,5,4,4,3,9,8,3,6
165,0,1,1,3,2,1,6,2,2,6
166,0,3,9,6,7,4,11,3,2,8
167,0,1,0,2,0,0,7,4,2,8
168,0,3,6,5,4,1,9,4,3,8
169,0,4,9,7,6,4,8,3,1,7
170,0,4,6,5,4,5,7,6,7,4
171,0,4,9,6,7,4,10,3,2,8
172,0,3,9,6,7,4,11,3,1,8
173,0,3,10,6,8,4,12,2,3,8
174,0,7,14,7,8,6,10,3,5,11
175,0,7,11,7,6,5,10,3,5,10
176,0,3,11,5,8,3,13,4,5,9
177,0,6,14,6,8,4,11,1,3,11
178,0,3,7,6,5,4,12,3,2,8
179,0,3,9,5,6,3,6,3,2,6
180,0,6,14,6,8,5,11,3,4,11
181,0,2,8,4,6,2,7,6,3,7
182,0,5,11,7,8,4,8,3,2,7
183,0,2,3,3,2,1,10,2,2,8
184,0,3,7,5,5,3,7,3,2,6
185,0,7,10,9,8,9,8,6,7,3
186,0,3,5,5,4,4,7,8,3,6
187,0,2,7,4,4,1,7,6,3,8
188,0,6,8,8,6,7,6,7,7,3
189,0,4,8,5,6,4,8,3,1,6
190,0,4,11,6,8,3,5,4,3,7
191,0,3,7,5,5,3,11,3,2,8
192,0,4,5,6,4,5,7,8,3,7
193,0,5,9,7,7,5,8,2,2,7
194,0,3,10,5,7,3,7,3,2,7
195,0,3,7,5,6,4,6,8,2,7
196,0,5,13,5,7,4,12,2,4,11
197,0,2,6,4,4,2,8,3,2,7
198,0,3,8,5,6,4,11,2,2,8
199,0,8,12,8,6,4,11,0,4,11
200,0,2,4,4,5,1,5,5,3,7
201,0,3,5,6,4,2,10,2,2,9
202,0,1,1,2,1,0,7,4,2,8
203,0,3,7,5,5,3,10,2,2,8
204,0,1,0,2,0,0,7,4,2,8
205,0,4,9,6,6,3,11,2,3,8
206,0,4,9,7,7,4,9,3,2,7
207,0,4,9,6,7,4,7,5,3,7
208,0,3,8,5,5,2,7,4,3,8
209,0,3,8,5,5,2,7,4,3,8
210,0,5,10,9,7,6,7,5,2,5
211,0,3,8,5,5,2,9,6,3,8
212,0,3,7,5,5,3,10,2,2,8
213,0,2,2,4,3,2,7,2,1,7
214,0,4,9,7,7,5,6,5,2,4
215,0,2,8,4,5,2,9,5,3,8
216,0,3,7,5,5,3,11,2,3,9
217,0,3,6,5,4,3,8,5,3,8
218,0,6,10,7,7,7,8,8,6,5
219,0,3,7,5,5,2,9,3,3,8
220,0,3,4,5,6,2,8,5,3,8
221,0,3,4,5,3,2,10,1,3,8
222,0,4,9,6,7,5,8,2,1,7
223,0,2,4,4,3,2,10,2,2,8
224,0,5,11,8,8,4,8,2,2,8
225,0,3,7,5,5,4,8,5,1,5
226,0,5,11,8,8,5,9,3,2,7
227,0,6,10,8,8,8,7,7,8,2
228,0,2,3,4,5,1,8,6,3,8
229,0,5,9,6,7,4,9,4,3,8
230,0,5,10,5,5,3,11,4,4,10
231,0,7,13,6,8,4,8,2,3,7
232,0,2,2,4,3,2,8,2,2,7
233,0,4,7,5,5,5,7,6,8,2
234,0,6,9,6,5,3,12,3,5,10
235,0,1,0,2,0,0,7,4,2,8
236,0,5,13,5,7,4,11,2,4,10
237,0,2,3,4,2,2,7,2,1,7
238,0,2,6,3,4,2,9,5,2,8
239,0,2,4,4,3,2,9,2,2,8
240,0,6,9,9,8,8,7,8,2,6
241,0,5,7,7,6,6,5,8,3,8
242,0,2,4,4,2,2,11,2,3,9
243,0,5,11,8,8,5,12,2,3,8
244,0,2,6,4,4,2,7,4,2,7
245,0,4,11,7,8,4,11,2,2,9
246,0,3,11,6,8,2,6,6,3,7
247,0,2,3,3,2,1,10,2,3,8
248,0,7,11,6,6,3,11,2,3,9
249,0,3,4,5,3,2,8,2,2,7
250,0,6,13,6,8,4,12,2,5,10
251,0,4,11,6,8,4,12,3,3,8
252,0,2,0,3,1,0,8,4,2,8
253,0,2,5,4,4,2,11,2,2,8
254,0,2,4,4,5,1,8,6,3,8
255,0,3,3,5,4,1,9,3,3,8
256,0,3,8,4,6,3,8,3,2,7
257,0,3,7,5,6,4,7,8,2,6
258,0,2,1,3,1,0,7,4,2,8
259,0,3,3,5,5,2,6,3,3,7
260,0,5,10,8,8,6,6,5,2,4
261,0,2,6,4,4,3,7,2,1,6
262,0,3,9,6,7,5,8,5,0,5
263,0,2,8,4,6,2,8,4,3,8
264,0,6,10,9,8,9,8,8,8,4
265,0,3,7,6,5,4,5,5,3,4
266,0,3,2,5,4,2,10,2,2,8
267,0,3,9,5,7,3,12,3,4,9
268,0,6,10,6,5,4,12,3,6,10
269,0,3,8,5,6,2,7,6,3,8
270,0,5,12,5,6,3,12,2,4,11
271,0,2,1,4,2,1,8,2,2,6
272,0,3,6,5,4,2,10,3,2,7
273,0,3,7,5,4,2,8,3,3,8
274,0,2,3,4,1,1,10,2,3,8
275,0,1,0,2,1,0,8,4,2,8
276,0,2,3,3,2,1,10,2,2,8
277,0,2,5,3,3,2,11,3,2,8
278,0,6,10,8,8,8,7,8,8,5
279,0,3,5,5,4,2,10,2,2,8
280,0,3,6,5,4,2,9,2,2,7
281,0,4,9,6,7,4,12,2,3,8
282,0,3,7,5,5,3,12,3,2,7
283,0,3,9,5,7,4,9,3,1,7
284,0,2,4,4,3,2,9,2,2,7
285,0,2,6,4,4,1,8,5,3,8
286,0,4,7,5,5,3,8,2,2,6
287,0,2,4,3,3,1,10,2,3,8
288,0,6,10,9,8,9,8,7,7,4
289,0,8,15,6,8,4,9,3,3,8
290,0,3,9,5,7,3,11,4,2,8
291,0,5,11,7,9,5,10,2,2,8
292,0,2,7,4,5,3,11,3,2,8
293,0,2,4,3,3,1,11,3,3,9
294,0,3,3,5,4,2,6,3,3,7
295,0,4,7,6,5,2,8,3,3,7
296,0,7,11,9,8,9,7,6,8,2
297,0,3,8,5,6,3,12,2,3,8
298,0,3,6,5,4,2,8,2,2,7
299,0,2,4,4,5,2,8,6,3,8
300,0,2,7,4,5,3,10,3,1,7
301,0,5,11,8,8,4,10,2,2,7
302,0,3,8,5,6,3,6,4,3,7
303,0,2,8,4,6,2,12,3,3,8
304,0,4,11,8,8,6,9,5,1,6
305,0,6,9,5,4,2,11,3,3,9
306,0,3,5,5,4,2,6,3,2,8
307,0,2,4,3,3,1,11,3,3,9
308,0,2,3,3,2,1,9,2,1,8
309,0,4,10,7,8,5,7,3,1,6
310,0,8,14,8,8,6,9,4,5,11
311,0,3,8,5,5,2,7,5,3,7
312,0,3,9,5,7,3,11,3,2,8
313,0,3,8,5,6,3,12,2,3,9
314,0,3,6,5,5,4,9,7,4,5
315,0,2,6,3,4,2,11,3,3,8
316,0,4,7,7,5,5,7,6,2,7
317,0,5,9,8,6,6,9,5,2,7
318,0,3,10,5,7,2,7,5,3,7
319,0,3,5,5,3,2,10,2,2,7
320,0,4,9,6,7,6,7,8,8,5
321,0,3,9,5,7,4,9,3,2,6
322,0,3,8,5,6,3,6,5,3,7
323,0,3,2,5,4,2,8,2,2,7
324,0,4,10,7,8,5,11,3,1,8
325,0,3,7,5,5,3,8,2,2,7
326,0,4,9,6,7,4,12,3,3,8
327,0,4,8,7,6,5,6,5,2,4
328,0,3,2,5,3,2,6,2,2,5
329,0,5,10,7,8,4,10,3,2,8
330,0,2,6,5,4,3,5,5,2,3
331,0,7,10,9,8,8,7,7,7,1
332,0,3,9,6,7,4,13,3,3,9
333,0,6,10,6,5,3,12,3,6,10
334,0,4,11,6,8,3,7,4,3,8
335,0,2,7,4,5,2,9,3,2,8
336,0,4,10,7,7,2,7,5,3,8
337,0,4,9,6,7,4,12,2,3,8
338,0,3,2,5,4,2,8,2,2,7
339,0,3,9,5,7,3,10,2,2,8
340,0,3,11,6,8,4,12,2,2,8
341,0,3,8,5,6,3,7,5,3,8
342,0,4,6,6,5,5,8,8,3,6
343,0,4,9,7,7,5,11,3,1,8
344,0,3,9,5,7,3,9,3,2,7
345,0,2,3,4,2,1,8,2,2,7
346,0,2,2,4,3,1,7,3,2,7
347,0,5,9,9,7,6,5,5,2,2
348,0,2,7,4,5,3,12,4,3,8
349,0,3,5,5,3,2,6,2,2,6
350,0,4,9,6,6,2,7,7,3,8
351,0,3,8,5,6,3,12,3,3,9
352,0,3,8,6,5,2,6,5,3,7
353,0,3,10,5,8,4,6,3,1,6
354,0,4,9,6,7,4,8,2,2,6
355,0,4,9,7,7,4,8,2,2,7
356,0,3,8,5,5,2,7,5,3,7
357,0,4,10,7,8,5,12,3,2,8
358,0,3,8,6,6,4,8,5,2,6
359,0,2,9,4,6,2,7,4,3,8
360,0,3,7,5,4,2,7,4,3,7
361,0,2,3,3,1,1,11,2,3,8
362,0,2,1,3,1,1,7,4,2,8
363,0,6,9,6,5,3,13,0,5,10
364,0,9,13,8,8,4,10,0,3,8
365,0,2,4,3,3,1,11,3,2,8
366,0,3,4,5,3,2,8,2,2,6
367,0,2,8,4,6,2,12,2,4,9
368,0,2,7,4,5,2,12,3,4,9
369,0,1,1,2,1,0,8,4,2,8
370,0,6,8,8,7,7,6,7,3,7
371,0,3,9,6,7,4,12,3,2,8
372,0,2,6,4,4,2,8,3,2,6
373,0,3,11,5,8,4,8,5,3,8
374,0,3,3,5,5,2,6,4,3,7
375,0,2,6,5,4,3,6,5,1,4
376,0,5,12,5,6,3,14,0,4,10
377,0,3,2,5,3,2,8,2,2,7
378,0,3,5,4,4,3,8,8,2,6
379,0,4,11,6,8,3,9,3,3,9
380,0,1,0,2,1,0,7,4,2,8
381,0,2,4,4,3,2,11,2,3,9
382,0,4,9,6,8,6,10,7,4,4
383,0,7,12,6,7,3,12,2,3,9
384,0,3,10,6,7,4,11,3,2,9
385,0,4,9,6,6,5,6,5,3,6
386,0,3,9,4,6,3,7,4,3,8
387,0,3,10,6,7,2,7,3,3,7
388,0,3,8,5,6,3,11,2,3,8
389,0,4,11,7,8,4,12,2,3,9
390,0,2,3,3,2,1,10,2,2,8
391,0,3,11,6,8,2,8,6,3,8
392,0,3,5,5,8,2,8,5,3,8
393,0,5,11,8,8,6,6,3,2,5
394,0,2,7,4,5,3,12,3,2,9
395,0,2,7,4,4,1,8,6,3,8
396,0,3,11,6,8,4,11,4,2,8
397,0,3,5,5,4,2,11,2,2,8
398,0,5,9,6,7,4,7,4,3,8
399,0,6,11,8,9,8,7,7,8,1
400,0,7,9,10,8,8,6,8,2,8
401,0,3,9,6,6,3,11,3,2,8
402,0,3,8,5,6,4,11,3,1,8
403,0,2,1,3,1,1,7,4,2,8
404,0,4,8,6,7,6,7,8,2,6
405,0,1,0,2,0,0,7,4,2,8
406,0,3,5,6,4,2,8,2,2,7
407,0,2,1,4,2,1,8,2,2,7
408,0,3,9,5,6,3,12,2,4,9
409,0,4,10,5,5,4,9,5,5,10
410,0,4,10,7,8,5,11,2,2,8
411,0,5,11,5,6,4,10,3,4,10
412,0,4,8,6,7,7,10,8,3,5
413,0,1,0,2,0,0,8,3,2,8
414,0,2,4,4,3,2,7,2,2,6
415,0,2,4,3,3,1,11,3,3,9
416,0,4,11,7,8,6,7,5,1,6
417,0,6,11,8,8,8,8,7,6,3
418,0,3,3,5,4,2,8,2,2,7
419,0,2,7,3,5,2,12,3,2,8
420,0,2,4,4,2,2,10,2,2,8
421,0,2,2,4,3,2,8,2,1,7
422,0,2,2,4,3,2,8,2,2,7
423,0,7,11,7,6,4,10,1,4,11
424,0,4,11,6,8,4,12,2,3,9
425,0,3,11,5,8,4,12,3,3,8
426,0,2,0,3,1,0,7,4,2,8
427,0,1,0,2,0,0,7,4,2,8
428,0,2,3,3,2,1,10,2,2,8
429,0,4,10,7,7,2,7,7,3,8
430,0,4,11,6,8,4,8,3,2,7
431,0,6,11,8,8,8,8,9,8,4
432,0,4,11,6,8,2,7,6,3,8
433,0,2,4,4,3,2,9,2,2,8
434,0,2,3,4,4,1,9,5,3,8
435,0,2,3,4,2,1,11,2,3,8
436,0,1,3,2,2,1,12,2,3,8
437,0,1,1,2,1,1,7,3,2,7
438,0,1,0,2,1,0,7,4,2,8
439,0,2,9,4,6,2,6,5,3,7
440,0,4,10,7,8,4,14,3,4,9
441,0,4,9,6,8,6,7,8,2,7
442,0,2,4,4,3,2,11,2,3,9
443,0,4,8,6,6,3,9,2,2,7
444,0,2,4,4,3,2,8,2,2,6
445,0,5,9,7,8,6,6,8,2,8
446,0,3,4,5,3,2,10,2,3,8
447,0,3,8,5,6,3,9,3,1,7
448,0,2,4,4,2,1,11,2,3,8
449,0,1,0,2,0,0,7,4,2,8
450,0,4,9,6,7,6,8,9,8,5
451,0,3,6,6,4,3,7,5,2,5
452,0,2,3,3,2,1,11,2,2,8
453,0,4,11,5,8,4,8,5,3,8
454,0,3,9,4,6,3,9,5,2,8
455,0,4,7,5,5,5,7,7,6,3
456,0,2,4,3,2,1,8,2,2,7
457,0,5,8,8,7,7,8,7,2,6
458,0,4,9,4,4,3,10,3,4,10
459,0,3,9,5,6,3,9,3,2,7
460,0,7,11,5,6,3,10,0,2,8
461,0,3,5,5,8,2,7,6,3,8
462,0,4,5,7,7,2,7,6,3,8
463,0,5,7,8,6,6,9,7,3,5
464,0,3,9,5,6,2,9,6,3,8
465,0,6,10,5,5,3,12,5,4,10
466,0,2,7,4,5,2,8,4,2,8
467,0,3,3,5,5,2,7,5,3,7
468,0,1,3,2,1,1,9,3,2,8
469,0,3,6,6,8,2,9,4,3,8
470,0,1,0,2,0,0,8,4,2,8
471,0,3,7,5,5,3,11,2,3,8
472,0,3,10,5,7,2,6,6,3,7
473,0,3,11,5,8,4,11,4,2,7
474,0,2,4,3,3,1,10,2,2,8
475,0,6,11,6,6,4,12,3,5,10
476,0,3,11,5,8,2,9,6,3,8
477,0,1,1,2,1,0,7,4,2,8
478,0,4,11,7,8,4,12,4,3,9
479,0,7,15,7,8,5,10,2,5,10
480,0,3,6,5,5,4,9,7,3,5
481,0,3,6,5,4,2,11,2,4,8
482,0,3,7,5,4,2,7,5,3,7
483,0,4,11,7,9,4,11,3,2,9
484,0,3,5,5,4,2,7,2,1,7
485,0,3,9,6,6,2,8,4,3,8
486,0,9,13,7,7,4,8,2,3,6
487,0,2,8,4,5,2,6,5,3,7
488,0,4,10,7,8,4,13,2,4,10
489,0,4,9,7,7,5,10,3,1,7
490,0,2,4,4,3,1,6,3,2,6
491,0,2,3,3,2,1,8,2,2,8
492,0,5,8,9,6,6,7,5,2,6
493,0,2,3,4,4,1,10,5,3,8
494,0,3,5,5,3,2,11,2,3,8
495,0,5,11,8,8,5,11,2,3,9
496,0,4,12,7,8,3,7,4,3,7
497,0,2,1,4,2,1,9,2,2,7
498,0,5,7,6,5,6,8,7,7,3
499,0,7,12,6,6,3,9,0,3,6
500,0,6,8,8,7,7,8,7,4,5
501,0,3,8,5,6,5,8,8,6,4
502,0,3,9,5,7,3,11,3,3,8
503,0,2,6,3,4,2,11,3,2,8
504,0,2,3,4,4,2,8,3,1,7
505,0,2,4,4,3,2,7,2,2,7
506,0,4,9,6,7,5,8,2,3,7
507,0,5,10,9,8,7,11,5,1,9
508,0,4,9,6,6,5,10,3,1,7
509,0,3,8,5,6,3,12,3,2,8
510,0,3,10,6,7,2,7,3,3,7
511,0,2,5,4,3,2,10,2,3,8
512,0,4,10,6,7,2,9,4,3,8
513,0,2,1,3,1,1,7,4,2,7
514,0,3,7,5,4,2,7,4,3,8
515,0,5,11,8,8,5,10,1,2,9
516,0,4,9,5,6,4,7,5,3,7
517,0,4,8,7,6,5,9,5,2,8
518,0,5,11,9,8,7,8,4,1,6
519,0,2,7,4,5,3,11,3,2,8
520,0,5,9,7,7,5,8,3,1,7
521,0,2,7,4,5,2,11,2,3,8
522,0,5,10,8,8,5,11,3,1,8
523,0,3,11,6,8,2,9,5,3,8
524,0,1,3,2,2,1,9,2,2,8
525,0,3,5,5,3,2,8,2,2,7
526,0,5,12,6,6,3,13,1,4,11
527,0,5,6,7,5,5,8,8,3,6
528,0,3,9,5,7,3,13,3,3,9
529,0,3,4,5,3,2,10,2,2,9
530,0,3,6,6,4,4,8,5,2,6
531,0,3,4,5,3,2,10,2,2,9
532,0,3,10,5,8,4,12,3,1,8
533,0,4,9,4,4,2,10,2,4,10
534,0,4,9,6,6,4,10,2,1,7
535,0,2,3,3,1,1,8,2,2,7
536,0,1,0,2,1,0,8,4,2,8
537,0,2,6,4,4,2,11,3,2,8
538,0,5,10,5,5,3,11,2,4,10
539,0,3,6,4,4,2,8,2,2,7
540,0,3,8,5,6,5,8,8,6,4
541,0,6,9,5,5,3,8,3,3,7
542,0,7,9,9,8,8,5,8,3,8
543,0,3,7,5,5,3,6,3,2,6
544,0,4,7,5,5,3,8,2,2,6
545,0,4,6,6,5,5,8,8,2,6
546,0,6,11,11,8,8,7,5,2,6
547,0,3,8,5,6,3,12,3,3,9
548,0,4,6,5,6,5,7,9,2,8
549,0,6,11,6,6,4,11,2,4,11
550,0,2,4,4,5,2,7,4,3,8
551,0,2,4,4,3,2,10,2,2,8
552,0,4,10,5,8,4,6,5,3,7
553,0,3,8,5,6,3,11,3,3,9
554,0,2,1,3,2,1,8,2,2,7
555,0,1,0,2,0,0,8,3,2,8
556,0,5,6,7,5,5,8,8,3,6
557,0,1,0,2,1,0,7,4,2,8
558,0,5,10,7,8,4,9,2,3,8
559,0,3,10,5,7,2,8,6,3,8
560,0,2,1,4,2,2,7,2,2,7
561,0,1,0,2,0,0,7,4,2,8
562,0,3,6,5,4,1,9,4,3,8
563,0,3,8,5,6,3,10,3,2,8
564,0,2,6,4,4,1,7,5,3,7
565,0,2,4,4,3,2,11,2,2,8
566,0,3,5,5,8,2,7,6,3,8
567,0,3,4,5,3,2,10,2,2,8
568,0,2,8,4,5,1,8,6,3,8
569,0,4,4,6,6,2,6,7,3,7
570,0,3,4,6,6,2,7,6,3,8
571,0,4,8,6,6,3,13,3,4,9
572,0,4,9,5,7,4,7,5,3,8
573,0,2,1,4,3,2,8,2,2,7
574,0,2,7,4,4,1,5,4,3,7
