,v1,v2,v3
0,0,1,1807
1,8107,1,2
2,8,7982,7
3,9010,9319,1549
4,5215,3653,1549
5,9319,5215,1549
6,5215,9319,8343
7,4790,9319,4263
8,9319,4790,8343
9,9452,8397,10
10,9452,4790,8397
11,1639,3,4
12,3,1639,2
13,1,6327,1807
14,13,14,8873
15,19,20,3350
16,7311,9073,8986
17,8397,9,10
18,8,9,8397
19,1339,5215,8343
20,9648,4790,4263
21,11,9452,10
22,1339,5201,8873
23,5201,1339,8343
24,9903,7360,9010
25,9903,9010,1549
26,9052,7756,9010
27,9052,7360,2428
28,7360,9052,9010
29,9882,8990,1549
30,8990,9903,1549
31,9903,8990,5430
32,6555,9882,8986
33,8990,6555,1807
34,6555,8990,9882
35,5887,20,0
36,7311,5887,9073
37,39,9192,1670
38,9192,39,6
39,5,39,1670
40,39,5,6
41,9192,4638,1670
42,5,4638,4
43,4638,5,1670
44,7982,1574,7
45,1574,6,7
46,1574,9192,6
47,9579,1,8107
48,9579,6327,1
49,19,251,18
50,9790,251,3371
51,9882,4959,8986
52,4959,7311,8986
53,4959,9882,1549
54,2302,3653,8037
55,18,5264,17
56,251,5264,18
57,5264,251,9790
58,3930,9790,3371
59,2302,3930,3653
60,3930,2302,9790
61,1339,8917,5215
62,6911,7982,8
63,4790,1052,8397
64,9648,1052,4790
65,1052,8,8397
66,4990,5201,8343
67,4790,4990,8343
68,9452,4990,4790
69,5201,1229,8873
70,9052,6655,7756
71,1639,6655,2
72,7756,6655,1639
73,6655,8107,2
74,8107,6655,2428
75,6655,9052,2428
76,8990,5479,5430
77,6327,5479,1807
78,5479,8990,1807
79,9073,8746,8986
80,8746,6555,8986
81,5887,8746,9073
82,8746,5887,0
83,8746,0,1807
84,6555,8746,1807
85,9319,4733,4263
86,1515,9648,4263
87,5817,9579,8107
88,5817,8107,2428
89,7360,5817,2428
90,251,1041,3371
91,1041,19,3350
92,1041,251,19
93,4959,4125,7311
94,1041,4125,3371
95,4125,4959,1549
96,5264,2355,17
97,2355,5264,9790
98,2302,2355,9790
99,2355,16,17
100,14,5349,8873
101,5349,14,15
102,5349,1339,8873
103,1522,2302,8037
104,4017,1052,9648
105,4017,6911,8
106,1052,4017,8
107,6332,4990,9452
108,4990,6332,5201
109,6332,1229,5201
110,11,6332,9452
111,12,4288,11
112,4288,6332,11
113,6332,4288,1229
114,4288,12,13
115,4288,13,8873
116,1229,4288,8873
117,3151,4638,9192
118,1574,3151,9192
119,4733,3151,4263
120,3151,1515,4263
121,1515,3151,1574
122,3599,7756,1639
123,7756,3599,9010
124,3599,1639,4
125,4638,3599,4
126,3599,9319,9010
127,3599,4733,9319
128,1515,5472,9648
129,5472,4017,9648
130,4017,5472,6911
131,6911,5472,7982
132,5472,1574,7982
133,5472,1515,1574
134,9903,8289,7360
135,8289,5817,7360
136,5817,8289,9579
137,4125,684,7311
138,684,4125,1041
139,684,1041,3350
140,20,684,3350
141,5887,684,20
142,684,5887,7311
143,7134,3930,3371
144,4125,7134,3371
145,3930,7134,3653
146,3653,7134,1549
147,7134,4125,1549
148,1522,7829,2302
149,7829,2355,2302
150,7274,8917,1339
151,5349,7274,1339
152,7829,7274,5349
153,8917,2310,5215
154,1522,2310,8917
155,2310,1522,8037
156,3653,2310,8037
157,5215,2310,3653
158,3151,7836,4638
159,7836,3151,4733
160,7836,3599,4638
161,3599,7836,4733
162,5102,9903,5430
163,5102,8289,9903
164,8289,5102,9579
165,9579,5102,6327
166,5479,5102,5430
167,5102,5479,6327
168,2065,5349,15
169,2065,7829,5349
170,16,2065,15
171,2355,2065,16
172,7829,2065,2355
173,8562,7829,1522
174,8562,7274,7829
175,8562,1522,8917
176,7274,8562,8917
