,v1,v2,v3
0,5215,3653,1549
1,5215,8343,1339
2,8,7982,7
3,4790,8397,10
4,8343,5201,1339
5,6327,5479,1807
6,9010,9319,1549
7,9319,5215,1549
8,5215,9319,8343
9,4790,9319,4263
10,9319,4790,8343
11,5479,8990,1807
12,5887,0,1807
13,8397,9,10
14,8,9,8397
15,9648,4790,4263
16,4790,9648,8397
17,1515,9648,4263
18,9452,4790,10
19,2,6655,8107
20,3,1639,2
21,1639,6655,2
22,6655,1639,7756
23,1639,3,4
24,1639,3599,7756
25,3599,9319,9010
26,7756,3599,9010
27,3599,1639,4
28,8746,5887,1807
29,9073,8746,8986
30,8746,9073,5887
31,5264,2355,17
32,7829,2355,2302
33,3653,7134,1549
34,18,5264,17
35,5264,18,19
36,19,20,3350
37,20,0,5887
38,1,2,8107
39,1,6327,1807
40,0,1,1807
41,14,8873,13
42,5201,8873,1339
43,4790,4990,8343
44,9452,4990,4790
45,11,9452,10
46,6327,5102,5479
47,5817,7360,8289
48,9882,8990,1549
49,4959,9882,1549
50,9882,4959,8986
51,2355,16,17
52,1522,7829,2302
53,3930,7134,3653
54,2302,3930,3653
55,4125,4959,1549
56,7134,4125,1549
57,1041,19,3350
58,8873,4288,13
59,4288,12,13
60,4288,11,12
61,5349,8873,14
62,5349,14,15
63,8873,5349,1339
64,3599,4733,9319
65,9319,4733,4263
66,4733,3151,4263
67,39,9192,1670
68,9192,39,6
69,5,39,1670
70,39,5,6
71,1574,9192,6
72,1574,6,7
73,1574,1515,4263
74,7982,1574,7
75,1515,1574,7982
76,3151,1574,4263
77,9192,1574,3151
78,4638,9192,3151
79,9192,4638,1670
80,4638,3599,4
81,5,4638,4
82,4638,5,1670
83,6911,4017,9648
84,6911,7982,8
85,4017,6911,8
86,9648,1052,8397
87,4017,1052,9648
88,1052,8,8397
89,1052,4017,8
90,6332,4990,9452
91,11,6332,9452
92,6332,5201,8343
93,4990,6332,8343
94,9579,5102,6327
95,5102,9579,8289
96,9579,5817,8289
97,5817,9579,8107
98,9579,1,8107
99,1,9579,6327
100,8990,9903,1549
101,9903,9010,1549
102,9903,7360,9010
103,9903,5102,8289
104,7360,9903,8289
105,5430,8990,5479
106,5102,5430,5479
107,5430,9903,8990
108,9903,5430,5102
109,6655,2428,8107
110,2428,5817,8107
111,5817,2428,7360
112,9882,6555,8990
113,8990,6555,1807
114,6555,8746,1807
115,8746,6555,8986
116,6555,9882,8986
117,7829,2065,2355
118,2065,16,2355
119,16,2065,15
120,2065,5349,15
121,5349,2065,7829
122,1522,8562,7829
123,5215,2310,3653
124,8037,2302,3653
125,8037,1522,2302
126,2310,8037,3653
127,8037,2310,1522
128,251,5264,19
129,1041,251,19
130,4125,7311,4959
131,4959,7311,8986
132,7311,9073,8986
133,9073,7311,5887
134,1229,8873,5201
135,1229,4288,8873
136,6332,1229,5201
137,4288,1229,11
138,1229,6332,11
139,4733,7836,3151
140,7836,4638,3151
141,7836,4733,3599
142,4638,7836,3599
143,5472,9648,1515
144,5472,6911,9648
145,5472,1515,7982
146,6911,5472,7982
147,9052,6655,7756
148,9052,2428,6655
149,9052,7756,9010
150,7360,9052,9010
151,2428,9052,7360
152,7274,5349,7829
153,8562,7274,7829
154,5349,7274,1339
155,7274,5215,1339
156,8917,8562,1522
157,2310,8917,1522
158,8917,2310,5215
159,7274,8917,5215
160,8917,7274,8562
161,251,9790,5264
162,9790,251,3930
163,9790,2355,5264
164,2355,9790,2302
165,9790,3930,2302
166,3930,3371,7134
167,251,3371,3930
168,3371,251,1041
169,3371,4125,7134
170,3371,1041,4125
171,1041,684,4125
172,684,7311,4125
173,20,684,3350
174,684,1041,3350
175,684,20,5887
176,7311,684,5887
